,sentences,entities_column,relations_column
0,"['This paper aims to explain the development of Web from the first generation to the second generation and now to the upcoming , third generation of the Web .', 'It describes the importance of semantic technologies and their importance in the libraries .']","[['ajax', 'web information', 'web page', 'Web', 'world wide web'], ['libraries', 'ontology', 'semantics', 'innovative technologies', 'semantic web', 'domain ontologies', 'semantic technologies', 'university libraries', 'semantic information', 'semantic descriptions', 'syntactics', 'linked open data']]","[[], []]"
1,"['In this deliverable we describe a SEALS evaluation service for ontology matching that is based on the use of a web service interface to be implemented by the tool vendor .', 'Following this approach we can offer an evaluation service before many components of the SEALS platform have been finished .', 'We describe both the system architecture of the evaluation service from a general point of view as well as the specific components and their relation to the modules of the SEALS platform .']","[['service management', 'web service interface', 'ontology matching', 'ontology', 'tool vendor', 'matching algorithm', 'SEALS evaluation service', 'matching methods'], ['service management', 'component', 'software frameworks', 'approach', 'SEALS platform'], ['novel architecture', 'architecture designs', 'component', 'viewpoint', 'system architectures', 'evaluation service', 'SEALS platform']]","[[('SEALS evaluation service', 'luanyi-USED-FOR', 'ontology matching'), ('web service interface', 'luanyi-USED-FOR', 'SEALS evaluation service'), ('SEALS evaluation service', 'verb_window-base', 'tool vendor'), ('tool vendor', 'verb_window-implement', 'SEALS evaluation service'), ('SEALS evaluation service', 'verb_window-base', 'web service interface'), ('tool vendor', 'verb_window-implement', 'web service interface'), ('ontology matching', 'verb_window-base', 'tool vendor'), ('tool vendor', 'verb_window-implement', 'ontology matching'), ('ontology matching', 'verb_window-base', 'web service interface')], [('approach', 'verb_window-offer', 'SEALS platform')], [('system architecture', 'luanyi-USED-FOR', 'evaluation service')]]"
2,"['In this paper , we propose a new ontology matching approach , OMeGA , based on genetic algorithms applied on the graph structure of ontologies .', 'Our approach finds the linguistic-structural similarities between concepts in two ontologies .', 'It introduces new fitness functions and new criteria for categorizing test cases into four categories .', 'Our approach does not need any extra information or resource with exception to the ontology itself .', 'Experimental results on applying OMeGA on defined cases show higher performance compared to existing method .']","[['ontology', 'ontology matching', 'graph structure of ontologies', 'OMeGA', 'ontology matching approach', 'matching algorithm', 'genetic algorithms', 'matching methods'], ['ontology', 'ontology matching', 'ontologies', 'linguistic-structural similarities', 'domain ontologies', 'semantic web', 'approach'], ['crossover operator', 'candidate solution', 'fitness functions', 'evolutionary algorithms', 'evolutionary strategies', 'It'], ['user information', 'computing resource', 'ontology', 'formal ontology', 'virtual resource', 'domain ontologies', 'resource information', 'approach'], ['method', 'OMeGA']]","[[('OMeGA', 'luanyi-HYPONYM-OF', 'ontology matching approach'), ('genetic algorithms', 'luanyi-USED-FOR', 'ontology matching approach'), ('genetic algorithms', 'luanyi-USED-FOR', 'OMeGA'), ('graph structure of ontologies', 'luanyi-USED-FOR', 'OMeGA'), ('genetic algorithms', 'verb_window-apply', 'graph structure of ontologies'), ('OMeGA', 'verb_window-base', 'genetic algorithms'), ('ontology matching approach', 'verb_window-base', 'genetic algorithms'), ('OMeGA', 'verb_window-base', 'graph structure of ontologies'), ('OMeGA', 'verb_window-apply', 'graph structure of ontologies'), ('ontology matching approach', 'verb_window-base', 'graph structure of ontologies'), ('ontology matching approach', 'verb_window-apply', 'graph structure of ontologies'), ('OMeGA', 'verb_window-RELATE', 'ontology matching approach'), ('ontology matching approach', 'verb_window-RELATE', 'OMeGA')], [('approach', 'luanyi-USED-FOR', 'linguistic-structural similarities'), ('approach', 'verb_window-find', 'ontologies'), ('approach', 'verb_window-find', 'linguistic-structural similarities')], [('It', 'openie-introduce', 'new criteria'), ('It', 'openie-introduce', 'criteria'), ('It', 'openie-introduce', 'new fitness functions'), ('It', 'openie-introduce', 'fitness functions'), ('It', 'openie-categorize', 'test cases'), ('It', 'verb_window-introduce', 'fitness functions')], [('approach', 'verb_window-ne', 'ontology')], [('OMeGA', 'luanyi-COMPARE', 'method'), ('defined cases', 'luanyi-EVALUATE-FOR', 'method'), ('results', 'openie-apply', 'OMeGA'), ('Experimental results', 'openie-apply', 'OMeGA'), ('OMeGA', 'verb_window-define', 'method'), ('OMeGA', 'verb_window-show', 'method'), ('OMeGA', 'verb_window-compare', 'method'), ('OMeGA', 'verb_window-exist', 'method')]]"
3,"['An automated ontology matching methodology is presented , supported by various machine learning techniques , as implemented in the system MoTo .', 'The methodology is two-tiered .', 'On the first stage it uses a meta-learner to elicit certain mappings from those predicted by single matchers induced by a specific base-learner .', 'Then , uncertain mappings are recovered passing through a validation process , followed by the aggregation of the individual predictions through linguistic quantifiers .', 'Experiments on benchmark ontologies demonstrate the effectiveness of the methodology .']","[['automated ontology matching methodology', 'ontology', 'domain ontologies', 'machine learning', 'machine learning techniques', 'system MoTo', 'learning', 'automated systems'], ['methodology'], ['meta-learner', 'match score', 'matching score', 'base-learner', 'it', 'matching algorithm', 'feature space', 'mappings', 'learning'], ['verification and validation', 'linguistic quantifiers', 'validation', 'model validation', 'linguistics', 'validation process'], ['methodology', 'ontology matching', 'ontology', 'domain ontologies', 'benchmark ontologies', 'semantic web']]","[[('machine learning techniques', 'luanyi-USED-FOR', 'automated ontology matching methodology'), ('automated ontology matching methodology', 'verb_window-present', 'machine learning techniques'), ('automated ontology matching methodology', 'verb_window-support', 'machine learning techniques'), ('automated ontology matching methodology', 'verb_window-present', 'system MoTo'), ('automated ontology matching methodology', 'verb_window-support', 'system MoTo'), ('automated ontology matching methodology', 'verb_window-learn', 'system MoTo'), ('automated ontology matching methodology', 'verb_window-implement', 'system MoTo'), ('machine learning techniques', 'verb_window-implement', 'system MoTo')], [('methodology', 'openie-be', 'two-tiered')], [('meta-learner', 'luanyi-USED-FOR', 'it'), ('meta-learner', 'luanyi-USED-FOR', 'mappings'), ('it', 'openie-elicit', 'mappings'), ('it', 'openie-elicit', 'certain mappings'), ('it', 'openie-use', 'meta-learner'), ('it', 'verb_window-use', 'meta-learner'), ('it', 'verb_window-use', 'mappings'), ('it', 'verb_window-elicit', 'mappings'), ('it', 'verb_window-use', 'base-learner'), ('it', 'verb_window-elicit', 'base-learner'), ('it', 'verb_window-predict', 'base-learner'), ('it', 'verb_window-induce', 'base-learner'), ('meta-learner', 'verb_window-elicit', 'mappings'), ('meta-learner', 'verb_window-elicit', 'base-learner'), ('meta-learner', 'verb_window-predict', 'base-learner'), ('meta-learner', 'verb_window-induce', 'base-learner'), ('mappings', 'verb_window-predict', 'base-learner'), ('mappings', 'verb_window-induce', 'base-learner')], [('validation process', 'verb_window-follow', 'linguistic quantifiers')], [('benchmark ontologies', 'luanyi-EVALUATE-FOR', 'methodology'), ('benchmark ontologies', 'verb_window-demonstrate', 'methodology')]]"
4,"['An effective semantic search approach based on hierarchical interest tree ( HIT ) is proposed in unstructured P2P systems.Documents owned by a peer are classified into categories to build a HIT , which is sent to a super peer.Meanwhile , the inverted document index ( IDI ) of top n terms for each category is also sent to a super peer according to their Chi-square ( 2 ) statistic values.When a regular peer sends a query and gives a category semantic similarity threshold Sim_ th , query messages are forwarded via an effective query routing algorithm and the results are returned by searching HIT.It is flexible for each peer since it can set the Sim_ th , which can provide a better personal service.The experiments show that HIT-based semantic search approach is more accurate and efficient than previous methods .']","[['peer-to-peer', 'correlation analysis', 'unstructured p2p', 'hierarchical interest tree', 'query routing algorithm', 'unstructured P2P systems.Documents', 'semantics', 'semantic search approach', 'semantic search', 'HIT-based semantic search approach', 'inverted document index', 'semantic similarity', 'HIT']]","[[('semantic search approach', 'luanyi-USED-FOR', 'unstructured P2P systems.Documents'), ('semantic search approach', 'luanyi-USED-FOR', 'HIT'), ('hierarchical interest tree', 'luanyi-USED-FOR', 'semantic search approach'), ('hierarchical interest tree', 'luanyi-USED-FOR', 'unstructured P2P systems.Documents'), ('hierarchical interest tree ( HIT )', 'luanyi-USED-FOR', 'semantic search approach'), ('unstructured P2P systems.Documents', 'luanyi-USED-FOR', 'unstructured P2P systems.Documents'), ('query routing algorithm', 'luanyi-USED-FOR', 'unstructured P2P systems.Documents'), ('HIT-based semantic search approach', 'openie-be', 'accurate'), ('semantic search approach', 'openie-be', 'accurate'), ('hierarchical interest tree', 'verb_window-propose', 'unstructured P2P systems.Documents'), ('semantic search approach', 'verb_window-base', 'hierarchical interest tree'), ('semantic similarity', 'verb_window-forward', 'query routing algorithm'), ('semantic search approach', 'verb_window-base', 'unstructured P2P systems.Documents'), ('semantic search approach', 'verb_window-propose', 'unstructured P2P systems.Documents'), ('HIT', 'verb_window-propose', 'unstructured P2P systems.Documents'), ('unstructured P2P systems.Documents', 'verb_window-own', 'HIT'), ('unstructured P2P systems.Documents', 'verb_window-classify', 'HIT'), ('unstructured P2P systems.Documents', 'verb_window-build', 'HIT'), ('semantic search approach', 'verb_window-base', 'HIT'), ('HIT', 'verb_window-send', 'inverted document index')]]"
5,"['With the increasing interest in environmental issues , the amount of publicly available environmental data on the Web is continuously growing .', 'Despite its importance , the uptake of environmental information by the ordinaryWeb users is still very limited due to intransparent access to complex and distributed databases .', 'As a remedy to this problem , in this work , we propose the use of semantic search technologies recently developed as an intuitive way to easily access structured data and lower the barriers to obtain information satisfying user information needs .', 'Our proposed system , namely KOIOS , enables a simple , keyword-based search on structured environmental data and built on top of a commercial Environmental Information System ( EIS ) .', 'A prototype system successfully shows that applying semantic search techniques this way provides intuitive means for search and access to complex environmental information .']","[['ajax', 'web information', 'web page', 'Web', 'integrated data', 'world wide web'], ['user information', 'database systems', 'ordinaryWeb users', 'web page', 'distributed databases', 'software developer', 'mobile users'], ['user information', 'combinatorial optimization', 'semantics', 'structured data', 'semantic search', 'combinatorial problems', 'user information needs', 'barriers', 'semantic search technologies'], ['keyword-based search', 'search process', 'structured environmental data', 'search engines', 'integrated data', 'system', 'information systems', 'KOIOS', 'enterprise system'], ['semantic search techniques', 'search process', 'search engines', 'semantics', 'prototype system', 'semantic search', 'semantic information']]","[[], [('ordinaryWeb users', 'verb_window-be', 'distributed databases')], [('semantic search technologies', 'luanyi-USED-FOR', 'structured data'), ('semantic search technologies', 'luanyi-USED-FOR', 'user information needs'), ('semantic search technologies', 'verb_window-develop', 'barriers'), ('semantic search technologies', 'verb_window-acces', 'barriers'), ('barriers', 'verb_window-obtain', 'user information needs'), ('barriers', 'verb_window-satisfy', 'user information needs'), ('semantic search technologies', 'verb_window-develop', 'structured data'), ('semantic search technologies', 'verb_window-acces', 'structured data'), ('semantic search technologies', 'verb_window-develop', 'user information needs'), ('semantic search technologies', 'verb_window-acces', 'user information needs'), ('semantic search technologies', 'verb_window-obtain', 'user information needs'), ('semantic search technologies', 'verb_window-satisfy', 'user information needs'), ('structured data', 'verb_window-obtain', 'user information needs'), ('structured data', 'verb_window-satisfy', 'user information needs')], [('KOIOS', 'luanyi-HYPONYM-OF', 'keyword-based search'), ('structured environmental data', 'luanyi-USED-FOR', 'keyword-based search'), ('KOIOS', 'verb_window-enable', 'structured environmental data'), ('KOIOS', 'verb_window-enable', 'keyword-based search'), ('system', 'verb_window-enable', 'structured environmental data'), ('system', 'verb_window-enable', 'keyword-based search')], [('semantic search techniques', 'luanyi-USED-FOR', 'search'), ('prototype system', 'verb_window-show', 'semantic search techniques'), ('prototype system', 'verb_window-apply', 'semantic search techniques')]]"
6,"['With the growing amount of people using the Internet , and creating digital content and information , knowledge retrieval becomes a critical task .', 'Ongoing efforts provide frameworks and standards for annotating digital and non-digital content semantically to describe resources more precisely and processable in comparison to simple descriptive structured and unstructured metadata .', 'Although the MPEG group provides with MPEG-7 , a useful and well defined theoretical framework for the creation of semantic annotation , retrieval of the annotations is not discussed .', 'In this paper we present a retrieval process for MPEG-7 based semantic annotations founded on well proved information retrieval techniques , namely query expansion and regular expressions .', 'Additionally NWCBIR , a prototype implementation for semantic search and retrieval will be presented .', 'Index TermsMPEG-7 , NWCBIR , Semantic Search and Retrieval .']","[['Internet', 'digital contents', 'internet', 'digital content', 'multimedia contents', 'knowledge retrieval', 'intranets', 'world wide web'], ['digital contents', 'software frameworks', 'multimedia contents', 'web page', 'programming framework', 'annotating digital and non-digital content', 'descriptive structured and unstructured metadata'], ['MPEG-7', 'semantics', 'software frameworks', 'formal framework', 'retrieval of the annotations', 'MPEG group', 'semantic information', 'mpeg-2', 'semantic annotation'], ['MPEG-7 based semantic annotations', 'information retrieval techniques', 'query expansion', 'semantics', 'information retrieval', 'retrieval performance', 'retrieval process', 'semantic information', 'regular expressions'], ['semantics', 'semantic search and retrieval', 'semantic search', 'NWCBIR', 'hardware implementations', 'semantic information', 'prototype implementation', 'syntactics'], ['search process', 'semantics', 'semantic search', 'semantic information', 'Semantic Search', 'Index TermsMPEG-7', 'syntactics']]","[[('Internet', 'luanyi-USED-FOR', 'digital content'), ('knowledge retrieval', 'openie-become', 'task'), ('knowledge retrieval', 'openie-become', 'critical task'), ('Internet', 'verb_window-create', 'digital content'), ('Internet', 'verb_window-create', 'knowledge retrieval')], [('frameworks', 'luanyi-USED-FOR', 'annotating digital and non-digital content'), ('annotating digital and non-digital content', 'verb_window-describe', 'descriptive structured and unstructured metadata')], [('MPEG-7', 'luanyi-USED-FOR', 'MPEG group'), ('MPEG-7', 'verb_window-define', 'retrieval of the annotations'), ('MPEG-7', 'verb_window-define', 'semantic annotation'), ('MPEG group', 'verb_window-provide', 'MPEG-7'), ('retrieval of the annotations', 'verb_window-RELATE', 'semantic annotation'), ('semantic annotation', 'verb_window-RELATE', 'retrieval of the annotations'), ('MPEG group', 'verb_window-provide', 'retrieval of the annotations'), ('MPEG group', 'verb_window-define', 'retrieval of the annotations'), ('MPEG group', 'verb_window-provide', 'semantic annotation'), ('MPEG group', 'verb_window-define', 'semantic annotation')], [('retrieval process', 'luanyi-USED-FOR', 'MPEG-7 based semantic annotations'), ('query expansion', 'luanyi-HYPONYM-OF', 'information retrieval techniques'), ('query expansion', 'luanyi-CONJUNCTION', 'regular expressions'), ('regular expressions', 'luanyi-HYPONYM-OF', 'information retrieval techniques'), ('MPEG-7 based semantic annotations', 'verb_window-found', 'information retrieval techniques'), ('MPEG-7 based semantic annotations', 'verb_window-prove', 'information retrieval techniques'), ('MPEG-7 based semantic annotations', 'verb_window-found', 'query expansion'), ('MPEG-7 based semantic annotations', 'verb_window-prove', 'query expansion'), ('MPEG-7 based semantic annotations', 'verb_window-found', 'regular expressions'), ('MPEG-7 based semantic annotations', 'verb_window-prove', 'regular expressions'), ('retrieval process', 'verb_window-base', 'information retrieval techniques'), ('retrieval process', 'verb_window-found', 'information retrieval techniques'), ('retrieval process', 'verb_window-prove', 'information retrieval techniques'), ('retrieval process', 'verb_window-base', 'query expansion'), ('retrieval process', 'verb_window-found', 'query expansion'), ('retrieval process', 'verb_window-prove', 'query expansion'), ('retrieval process', 'verb_window-base', 'regular expressions'), ('retrieval process', 'verb_window-found', 'regular expressions'), ('retrieval process', 'verb_window-prove', 'regular expressions'), ('query expansion', 'verb_window-RELATE', 'regular expressions'), ('regular expressions', 'verb_window-RELATE', 'query expansion')], [('NWCBIR', 'luanyi-HYPONYM-OF', 'prototype implementation'), ('NWCBIR', 'luanyi-USED-FOR', 'semantic search'), ('NWCBIR', 'luanyi-USED-FOR', 'semantic search and retrieval'), ('prototype implementation', 'luanyi-USED-FOR', 'semantic search'), ('prototype implementation', 'luanyi-USED-FOR', 'semantic search and retrieval')], [('Index TermsMPEG-7', 'luanyi-CONJUNCTION', 'NWCBIR'), ('Index TermsMPEG-7', 'luanyi-CONJUNCTION', 'Semantic Search'), ('NWCBIR', 'luanyi-CONJUNCTION', 'Semantic Search')]]"
7,"['Aiming at existing deficiencies such as low text semantic relevance degree in P2P context search , an Ontology-based P2P Content Semantic Search Routing Algorithm is developed .', 'In this algorithm , texts are described as ontology and concepts are mapped from K- High Frequency Term .', 'Concept Similarity is calculated by semantic distance between concepts to from concept relevance overlay and locate semantic peers .', 'Based on the concept relevance overlay , search requests are routed to the semantic peers firstly in order to search more semantic relevance resource by less time and network traffic .', 'Finally , the experiment was done to validate the efficiency and validity of Ontology based P2P Content Semantic Search Routing Algorithm , in which the result had shown that the algorithm is much better than Simple Flooding in semantic relevance degree of text .']","[['deficiencies', 'peer-to-peer', 'ontology', 'low text semantic relevance degree', 'semantics', 'semantic search', 'P2P context search', 'Ontology-based P2P Content Semantic Search Routing Algorithm', 'routing algorithms'], ['K- High Frequency Term', 'ontology', 'concepts', 'formal ontology', 'algorithm', 'domain ontologies', 'hybrid algorithms', 'frequencies', 'adaptive algorithms', 'output frequency'], ['semantic distance', 'word similarity', 'semantics', 'concept similarity', 'Concept Similarity', 'semantic similarity', 'concept relevance overlay', 'semantic peers'], ['search requests', 'search process', 'semantics', 'semantic relevance resource', 'semantic information', 'network traffic', 'concept relevance overlay', 'syntactics', 'semantic peers'], ['peer-to-peer', 'ontology', 'algorithm', 'Simple Flooding', 'semantics', 'semantic search', 'routing algorithms', 'Ontology based P2P Content Semantic Search Routing Algorithm']]","[[('low text semantic relevance degree', 'luanyi-FEATURE-OF', 'P2P context search')], [('algorithm', 'verb_window-describe', 'K- High Frequency Term'), ('algorithm', 'verb_window-map', 'K- High Frequency Term'), ('ontology', 'verb_window-map', 'K- High Frequency Term'), ('concepts', 'verb_window-map', 'K- High Frequency Term'), ('algorithm', 'verb_window-describe', 'ontology'), ('algorithm', 'verb_window-describe', 'concepts'), ('ontology', 'verb_window-RELATE', 'concepts'), ('concepts', 'verb_window-RELATE', 'ontology')], [('semantic distance', 'luanyi-USED-FOR', 'Concept Similarity'), ('Concept Similarity', 'openie-locate', 'semantic peers'), ('Concept Similarity', 'openie-locate', 'peers'), ('semantic distance', 'verb_window-locate', 'semantic peers'), ('Concept Similarity', 'verb_window-calculate', 'semantic distance'), ('concept relevance overlay', 'verb_window-locate', 'semantic peers'), ('Concept Similarity', 'verb_window-calculate', 'concept relevance overlay'), ('Concept Similarity', 'verb_window-calculate', 'semantic peers'), ('Concept Similarity', 'verb_window-locate', 'semantic peers')], [('search requests', 'luanyi-USED-FOR', 'semantic peers'), ('search requests', 'luanyi-USED-FOR', 'semantic relevance resource'), ('search requests', 'verb_window-rout', 'network traffic'), ('search requests', 'verb_window-search', 'network traffic'), ('search requests', 'verb_window-RELATE', 'concept relevance overlay'), ('concept relevance overlay', 'verb_window-RELATE', 'search requests'), ('search requests', 'verb_window-rout', 'semantic relevance resource'), ('search requests', 'verb_window-search', 'semantic relevance resource'), ('search requests', 'verb_window-rout', 'semantic peers'), ('semantic peers', 'verb_window-search', 'network traffic'), ('concept relevance overlay', 'verb_window-rout', 'semantic relevance resource'), ('concept relevance overlay', 'verb_window-search', 'semantic relevance resource'), ('concept relevance overlay', 'verb_window-rout', 'semantic peers'), ('semantic peers', 'verb_window-search', 'semantic relevance resource')], [('algorithm', 'verb_window-be', 'Simple Flooding'), ('Ontology based P2P Content Semantic Search Routing Algorithm', 'verb_window-show', 'algorithm'), ('Ontology based P2P Content Semantic Search Routing Algorithm', 'verb_window-show', 'Simple Flooding'), ('Ontology based P2P Content Semantic Search Routing Algorithm', 'verb_window-be', 'Simple Flooding')]]"
8,"['This paper discusses on a novel method for semantic searching and retrieval of information about learning materials .', 'A novel metametadata taxonomy has been developed which provides the basis for a semantic search engine to extract , match and map queries to retrieve relevant results .', 'Metametadata encapsulate metadata instances by using the properties and attributes provided by ontologies rather than describing learning objects .', 'The use of ontological views assists the pedagogical content of metadata extracted from learning objects by using the control vocabularies as identified from the metametadata taxonomy .', 'The use of ontological approach and metametadata ( based on the metametadata taxonomy ) have contributed towards a novel semantic searching mechanism .', 'These three strands - the taxonomy , the ontological views , and the search algorithm - are integrated into an architecture ( OMESCOD ) to support the semantic search within the metadata repository .']","[['semantic searching', 'search process', 'learning materials', 'semantics', 'semantic search', 'semantic information', 'syntactics', 'method'], ['search engines', 'semantics', 'engine', 'semantic search', 'metametadata taxonomy', 'web search engines', 'semantic search engine'], ['ontology', 'ontologies', 'domain ontologies', 'learning objects', 'semantic metadata', 'Metametadata', 'learning'], ['multiple views', 'ontology', 'control vocabularies', 'formal ontology', 'viewpoint', 'metametadata taxonomy', 'ontological views', 'pedagogy'], ['metametadata', 'ontology', 'formal ontology', 'semantics', 'learning objects', 'semantic search', 'semantic searching mechanism', 'metametadata taxonomy', 'ontological approach'], ['architecture designs', 'search process', 'search engines', 'semantics', 'semantic search', 'metadata repository', 'taxonomy', 'search algorithm', 'ontological views', 'strands']]","[[('method', 'luanyi-USED-FOR', 'semantic searching'), ('method', 'luanyi-USED-FOR', 'retrieval of information'), ('method', 'verb_window-search', 'learning materials')], [('metametadata taxonomy', 'luanyi-USED-FOR', 'semantic search engine'), ('metametadata taxonomy', 'verb_window-develop', 'semantic search engine'), ('metametadata taxonomy', 'verb_window-provide', 'semantic search engine')], [('Metametadata', 'openie-use', 'properties'), ('Metametadata', 'openie-encapsulate', 'metadata instances'), ('Metametadata', 'openie-encapsulate', 'instances'), ('Metametadata', 'verb_window-encapsulate', 'ontologies'), ('Metametadata', 'verb_window-use', 'ontologies'), ('Metametadata', 'verb_window-provide', 'ontologies'), ('ontologies', 'verb_window-learn', 'learning objects'), ('Metametadata', 'verb_window-encapsulate', 'learning objects'), ('Metametadata', 'verb_window-use', 'learning objects'), ('Metametadata', 'verb_window-provide', 'learning objects'), ('Metametadata', 'verb_window-learn', 'learning objects')], [('ontological views', 'luanyi-USED-FOR', 'pedagogical content of metadata'), ('control vocabularies', 'luanyi-USED-FOR', 'pedagogical content of metadata'), ('control vocabularies', 'luanyi-USED-FOR', 'learning objects'), ('ontological views', 'verb_window-assist', 'metametadata taxonomy'), ('ontological views', 'verb_window-extract', 'metametadata taxonomy'), ('ontological views', 'verb_window-learn', 'metametadata taxonomy'), ('ontological views', 'verb_window-use', 'metametadata taxonomy'), ('ontological views', 'verb_window-identify', 'metametadata taxonomy'), ('ontological views', 'verb_window-assist', 'control vocabularies'), ('ontological views', 'verb_window-extract', 'control vocabularies'), ('ontological views', 'verb_window-learn', 'control vocabularies'), ('ontological views', 'verb_window-use', 'control vocabularies'), ('control vocabularies', 'verb_window-identify', 'metametadata taxonomy')], [('ontological approach', 'luanyi-CONJUNCTION', 'metametadata'), ('ontological approach', 'luanyi-USED-FOR', 'semantic searching mechanism'), ('metametadata', 'luanyi-USED-FOR', 'semantic searching mechanism'), ('metametadata taxonomy', 'luanyi-USED-FOR', 'semantic searching mechanism'), ('metametadata taxonomy', 'verb_window-contribute', 'semantic searching mechanism'), ('metametadata', 'verb_window-base', 'metametadata taxonomy'), ('ontological approach', 'verb_window-base', 'metametadata taxonomy'), ('metametadata', 'verb_window-base', 'semantic searching mechanism'), ('metametadata', 'verb_window-contribute', 'semantic searching mechanism'), ('metametadata', 'verb_window-contribute', 'semantic searching mechanism'), ('ontological approach', 'verb_window-base', 'semantic searching mechanism'), ('ontological approach', 'verb_window-contribute', 'semantic searching mechanism'), ('metametadata', 'verb_window-RELATE', 'ontological approach'), ('ontological approach', 'verb_window-RELATE', 'metametadata'), ('ontological approach', 'verb_window-base', 'metametadata')], [('taxonomy', 'luanyi-CONJUNCTION', 'ontological views'), ('ontological views', 'luanyi-HYPONYM-OF', 'strands'), ('ontological views', 'luanyi-CONJUNCTION', 'search algorithm'), ('search algorithm', 'luanyi-USED-FOR', 'semantic search'), ('search algorithm', 'verb_window-integrate', 'metadata repository'), ('search algorithm', 'verb_window-support', 'metadata repository'), ('search algorithm', 'verb_window-integrate', 'semantic search'), ('search algorithm', 'verb_window-support', 'semantic search'), ('ontological views', 'verb_window-integrate', 'semantic search'), ('ontological views', 'verb_window-support', 'semantic search')]]"
9,"['Search is probably the most frequent activity on the web .', 'Yet , it is not effortless , mainly due to heterogeneous information resources .', 'Semantic search is a means to tackle the problem of ambiguity .', 'In this paper , we analyse a process of constructing semantic-linguistic Feature Vectors ( FVs ) used in our semantic search approach .', 'These FVs are built based on domain semantics encoded in an ontology and enhanced by relevant terminology from web documents .', 'Since FVs are central building blocks of the approach , we investigate the quality of FVs .', 'We take a closer look at the process of FV construction and the impact of chosen techniques on the quality of FVs .', 'We report on a set of laboratory experiments and analyse aspects affecting the FV quality and the FV construction error rates .']","[['ajax', 'search process', 'search engines', 'web information', 'web page', 'world wide web'], ['user information', 'it', 'heterogeneous information resources', 'heterogeneous networks'], ['search process', 'semantics', 'semantic search', 'semantic information', 'Semantic search', 'syntactics'], ['semantics', 'linguistics', 'semantic search approach', 'semantic search', 'local binary patterns', 'feature space'], ['FVs', 'domain semantics', 'ontology', 'semantics', 'web page', 'web documents', 'formal semantics', 'text document'], ['FVs', 'approach'], ['chosen techniques', 'FVs', 'optimization problems', 'FV construction'], ['FV construction error rates', 'FV quality', 'bit error rate']]","[[], [('it', 'verb_window-be', 'heterogeneous information resources')], [('Semantic search', 'openie-tackle', 'problem'), ('Semantic search', 'openie-be', 'means')], [], [('domain semantics', 'luanyi-USED-FOR', 'FVs'), ('ontology', 'luanyi-USED-FOR', 'FVs'), ('web documents', 'luanyi-USED-FOR', 'domain semantics'), ('FVs', 'verb_window-base', 'ontology'), ('FVs', 'verb_window-encode', 'ontology'), ('FVs', 'verb_window-base', 'web documents'), ('FVs', 'verb_window-encode', 'web documents'), ('FVs', 'verb_window-enhance', 'web documents'), ('FVs', 'verb_window-base', 'domain semantics'), ('ontology', 'verb_window-enhance', 'web documents'), ('domain semantics', 'verb_window-encode', 'ontology'), ('domain semantics', 'verb_window-encode', 'web documents'), ('domain semantics', 'verb_window-enhance', 'web documents')], [('FVs', 'openie-be', 'building blocks'), ('FVs', 'openie-be', 'central building blocks'), ('FVs', 'verb_window-be', 'approach'), ('approach', 'verb_window-investigate', 'FVs')], [('quality of FVs', 'luanyi-EVALUATE-FOR', 'chosen techniques'), ('FV construction', 'verb_window-choose', 'FVs')], [('FV quality', 'luanyi-CONJUNCTION', 'FV construction error rates'), ('aspects', 'openie-affect', 'FV quality'), ('aspects', 'openie-affect', 'FV construction error rates')]]"
