,s,p,o,source,support
0,linked data,produces,world wide web,heuristic,12
1,semantic search engine,provides,dbpedia,heuristic,2
2,linked data,produces,dbpedia,heuristic,19
3,semantic web technologies,combines,web ontology language,heuristic,102
4,ontology-based,represents,resource description framework (rdf),heuristic,175
5,resource description framework (rdf),provides,ontology-based,heuristic,186
6,semantic web technologies,provides,resource description framework (rdf),heuristic,329
7,ontology-based,provides,semantic description,heuristic,40
8,semantic description,uses,ontology-based,heuristic,22
9,ontology alignment,acquires,posterior probability,heuristic,1
10,ontology alignment,base,wordnet,heuristic,8
11,semantic web technologies,provides,linked data,heuristic,136
12,linked data,provides,ontology-based,heuristic,83
13,ontology-based,provides,linked data,heuristic,72
14,ontology alignment,provides,ontology-based,heuristic,124
15,resource description framework (rdf),analyzes,change detection,heuristic,5
16,resource description framework (rdf),links,linked data,heuristic,74
17,ontology-based,selects,ontology alignment,heuristic,194
18,ontology alignment,selects,ontology-based,heuristic,260
19,ontology alignment,combines,semantic similarity measures,heuristic,7
20,ontology alignment,represents,ontology integration,heuristic,4
21,ontology alignment,selects,ontology-based,heuristic,205
22,semantic relationships,proposes,web ontology language,heuristic,4
23,web ontology language,represents,ontology-based,heuristic,78
24,web ontology language,provides,resource description framework (rdf),heuristic,245
25,resource description framework (rdf),uses,web ontology language,heuristic,237
26,web ontology language,represents,enterprise architecture,heuristic,1
27,resource description framework (rdf),represents,enterprise architecture,heuristic,1
28,web ontology language,conjunction,ontology technology,heuristic,2
29,ontology technology,uses,web ontology language,heuristic,4
30,web ontology language,uses,collaborative designs,heuristic,4
31,ontology-based,defines,web ontology language,heuristic,225
32,resource description framework (rdf),produces,database systems,heuristic,16
33,database systems,produces,resource description framework (rdf),heuristic,23
34,resource description framework (rdf),provides,sparql,heuristic,140
35,sparql,is,resource description framework (rdf),heuristic,151
36,resource description framework (rdf),provides,semantic web technologies,heuristic,282
37,knowledge management systems,uses,web ontology language,heuristic,1
38,knowledge representation,uses,web ontology language,heuristic,16
39,intelligent tutoring systems,uses,web ontology language,heuristic,1
40,knowledge bases,contributes,semantic search engines,heuristic,6
