,s,p,o,source,support
0,semantic web technologies,combines,web ontology language,openie,1
1,linked data,includes,semantic data,openie,1
2,ontology technology,includes,web ontology language,openie,2
3,semantic web services,includes,digital libraries,openie,1
4,resource description framework (rdf),includes,semantic relationships,openie,2
5,visualization,includes,linked data,openie,1
6,web ontology language,is,ontology language,openie,7
7,zig-bee,includes,web ontology language,openie,1
8,semantic search engine,includes,fuzzy ontology,openie,1
9,semantic web technologies,includes,semantic description,openie,2
10,affective computing,includes,semantic web services,openie,1
11,artificial intelligence,includes,semantic search engines,openie,3
12,ontology alignment,includes,semantic web technologies,openie,3
13,evolutionary algorithms,includes,semantic web services,openie,1
14,web ontology language,represents,ontology-based,openie,5
15,ontology alignment,includes,data integration,openie,5
16,matching algorithm,includes,semantic web services,openie,3
17,semantic relationships,includes,ontology alignment,openie,1
18,spatial databases,includes,semantic description,openie,1
19,web services discovery,includes,semantic description,openie,1
20,semantic web technologies,includes,semantic descriptions,openie,1
21,resource description framework (rdf),includes,graphical representations,openie,1
22,linked data,requires,ontology-based,openie,2
23,grid services,includes,semantic web services,openie,1
24,web contents,includes,semantic search engine,openie,1
25,image processing,includes,semantic web services,openie,1
26,resource description framework (rdf),includes,domain-specific ontologies,openie,1
27,planning algorithms,includes,semantic web services,openie,1
28,semantic search engines,includes,user profiling,openie,1
29,linked data,includes,knowledge representation,openie,2
30,service execution,includes,semantic web services,openie,1
31,linked data,includes,knowledge transfer,openie,1
32,semantic search engines,includes,user navigation,openie,1
33,user profiling,includes,semantic search engines,openie,1
34,semantic description,includes,semantic similarity measures,openie,1
35,linked data,includes,logic programming,openie,1
36,index structure,includes,semantic search engines,openie,1
37,libraries,uses,resource description framework (rdf),openie,2
38,linked data,produces,world wide web,openie,1
39,semantic search engines,includes,question answering systems,openie,5
40,semantic web services,includes,p2p computing,openie,1
41,search engines,provides,semantic search engines,openie,2
42,text clustering,includes,semantic web services,openie,1
43,linked data,includes,software development life cycle,openie,1
44,agent technology,includes,semantic web services,openie,2
45,fuzzy clustering techniques,includes,semantic web services,openie,1
46,data mining,includes,semantic search engines,openie,1
47,ontology-based,includes,linked data,openie,16
48,conditional probabilities,includes,web ontology language,openie,1
49,web ontology language,includes,ontology language,openie,36
50,blogs,includes,ontology alignment,openie,1
51,semantic web services,includes,distributed applications,openie,1
52,wordnet,includes,web ontology language,openie,2
53,knowledge-sharing,includes,semantic search engines,openie,1
54,linked data,includes,web contents,openie,1
55,resource description framework (rdf),includes,social networks,openie,1
56,web ontology language,includes,web ontology language,openie,45
57,natural languages,includes,ontology alignment,openie,1
58,semantic description,includes,information filtering,openie,1
59,linked data,includes,recommender systems,openie,1
60,ontology building,includes,ontology alignment,openie,2
61,resource description framework (rdf),includes,dbpedia,openie,2
62,linked data,includes,resource description framework (rdf),openie,2
63,concept lattices,includes,linked data,openie,1
64,linked data,includes,natural languages,openie,1
65,semantic relationships,includes,semantic web services,openie,4
66,semantic web service discovery,includes,semantic search engines,openie,1
67,ontology alignment,includes,data cleaning,openie,1
68,information extraction,includes,semantic search engines,openie,5
69,semantic web technologies,includes,ontology alignment,openie,1
70,semantic description,includes,distributed applications,openie,1
71,spatial data infrastructure,includes,semantic search engines,openie,1
72,semantic web services,includes,relational database systems,openie,1
73,component-based software engineering,is,ontology alignment,openie,1
74,web ontology language,includes,ontology-based,openie,27
75,linked data,includes,parsing algorithm,openie,1
76,linked data,includes,information retrieval,openie,2
77,resource description framework (rdf),is,database systems,openie,1
78,semantic search engines,is,component-based software engineering,openie,1
79,web ontology language,is,ontology language,openie,1
80,web ontology language,includes,description logics,openie,7
81,ontology alignment,includes,ontology merging,openie,4
82,web ontology language,includes,xml schemas,openie,1
83,semantic search engine,combines,ontology technology,openie,1
84,linked open data,includes,semantic web services,openie,3
85,dbpedia,includes,linked data,openie,1
86,representational state transfer,includes,web ontology language,openie,1
87,web ontology language,includes,semantic web services,openie,7
88,dublin core,includes,web ontology language,openie,2
89,linked data,includes,natural language processing systems,openie,4
90,linked data,includes,libraries,openie,3
91,electronic commerce,includes,semantic web services,openie,4
92,linked data,includes,software architecture patterns,openie,2
93,semantic web technologies,includes,semantic descriptions,openie,3
94,semantic search engines,includes,speech recognition,openie,5
95,ontology alignment,includes,intelligent agents,openie,1
96,clone detection,includes,ontology alignment,openie,1
97,posterior probability,includes,ontology alignment,openie,1
98,keyword search,includes,semantic search engines,openie,3
99,ontology construction,includes,ontology alignment,openie,2
100,ontology-based,includes,semantic web services,openie,39
101,linked data,provides,background knowledge,openie,1
102,social networks,includes,ontology alignment,openie,1
103,semantic search engines,includes,knowledge management,openie,2
104,semantic search engines,includes,document classification,openie,1
105,semantic search engines,includes,information fusion,openie,1
106,ontology alignment,provides,semantic interoperability,openie,4
107,ontology-based,uses,web ontology language,openie,9
108,distributed applications,includes,semantic web services,openie,1
109,ontology merging,includes,ontology alignment,openie,1
110,query optimization,includes,resource description framework (rdf),openie,1
111,libraries,includes,linked data,openie,2
112,linked data,includes,reusability,openie,1
113,community detection,includes,semantic search engines,openie,2
114,semantic search engine,includes,user query,openie,1
115,ontology alignment,includes,schema mappings,openie,2
116,database systems,includes,semantic search engine,openie,2
117,data integration,includes,semantic search engines,openie,2
118,linked data,uses,semantic web technologies,openie,1
119,domain-specific ontologies,uses,web ontology language,openie,1
120,visualization,includes,semantic search engines,openie,1
121,index structure,includes,resource description framework (rdf),openie,1
122,semantic description,includes,grid resources,openie,1
123,semantic web services,includes,semantic search engine,openie,1
124,resource description framework (rdf),includes,information exchanges,openie,1
125,ontology-based,includes,ontology alignment,openie,11
126,schema integration,includes,ontology alignment,openie,3
127,resource description framework (rdf),includes,semantic web technologies,openie,17
128,ontology alignment,includes,information integration,openie,1
129,mashup,selects,semantic web services,openie,1
130,ontology alignment,includes,knowledge-sharing,openie,1
131,semantic search engine,includes,knowledge bases,openie,2
132,knowledge bases,includes,semantic search engines,openie,4
133,semantic web services,includes,collaborative tagging,openie,1
134,semantic web services,includes,web service selection,openie,1
135,semantic web services,includes,semantic relationships,openie,5
136,linked data,includes,education,openie,1
137,database systems,is,linked data,openie,1
138,semantic wikis,includes,ontology alignment,openie,1
139,linked data,includes,dbpedia,openie,4
140,relational database systems,includes,ontology alignment,openie,1
141,social search,includes,semantic search engines,openie,2
142,ontology alignment,includes,ontology-based,openie,1
143,semantic search engines,includes,information retrieval,openie,2
144,extensible markup language,includes,resource description framework (rdf),openie,2
145,natural language understanding,includes,semantic search engines,openie,2
146,semantic description,includes,database systems,openie,3
147,question answering systems,includes,semantic search engines,openie,5
148,data security,includes,semantic description,openie,2
149,user interfaces,includes,linked data,openie,2
150,machine learning techniques,includes,ontology alignment,openie,1
151,semantic web services,includes,network management,openie,1
152,database systems,includes,semantic search engines,openie,5
153,semantic web services,supports,automated reasoning,openie,2
154,web ontology language,includes,web contents,openie,1
155,ontology alignment,includes,answering queries,openie,2
156,semantic search engines,includes,vector space models,openie,1
157,web ontology language,includes,semantic web services,openie,5
158,logic programming,includes,resource description framework (rdf),openie,1
159,enterprise architecture,uses,resource description framework (rdf),openie,1
160,relational database systems,includes,web ontology language,openie,1
161,grid environments,includes,ontology alignment,openie,2
162,semantic search engines,includes,recommender systems,openie,1
163,resource description framework (rdf),includes,semantic web rule languages,openie,7
164,semantic search engines,includes,search engines,openie,2
165,orthography,includes,semantic search engines,openie,1
166,ontology technology,includes,ontology alignment,openie,1
167,text summarization,includes,semantic search engines,openie,1
168,resource description framework (rdf),includes,bipartite graphs,openie,1
169,product design,includes,semantic search engines,openie,1
170,ontology alignment,includes,question answering systems,openie,3
171,semantic data,includes,resource description framework (rdf),openie,1
172,semantic search engine,includes,semantic relationships,openie,1
173,resource description framework (rdf),includes,linked open data,openie,4
174,information integration,includes,semantic search engines,openie,2
175,ontology construction,includes,web ontology language,openie,1
176,semantic descriptions,includes,semantic descriptions,openie,5
177,resource description framework (rdf),includes,linked data,openie,3
178,semantic web services,requires,privacy,openie,1
179,distributed environments,includes,ontology alignment,openie,1
180,web ontology language,includes,knowledge exchange,openie,1
181,web services discovery,includes,ontology alignment,openie,1
182,semantic web technologies,includes,semantic web services,openie,1
183,semantic search engine,includes,social networks,openie,2
184,resource description framework (rdf),includes,ontology language,openie,1
185,web ontology language,includes,semantic description,openie,2
186,semantic web services,includes,blogging,openie,2
187,semantic web services,includes,text mining,openie,1
188,linked data,uses,resource description framework (rdf),openie,2
189,semantic descriptions,includes,intelligent agents,openie,4
190,web ontology language,includes,ontology language,openie,4
191,reasoning algorithms,includes,semantic search engines,openie,1
192,semantic search engines,improves,web searches,openie,1
193,ontology alignment,includes,natural language generation,openie,1
194,natural language processing systems,includes,resource description framework (rdf),openie,1
195,semantic web technologies,includes,linked data,openie,29
196,ontology alignment,includes,automated systems,openie,1
197,semantic search engine,includes,semantic web technologies,openie,4
198,linked data,includes,automated reasoning,openie,1
199,semantic web services,includes,web services discovery,openie,1
200,sparql,queries,resource description framework (rdf),openie,2
201,semantic web services,includes,service-oriented computing,openie,2
202,cloud computing,includes,semantic search engine,openie,1
203,semantic relationships,includes,semantic description,openie,1
204,natural languages,includes,linked data,openie,1
205,linked data,includes,data streams,openie,1
206,ontology alignment,includes,ontology alignment,openie,7
207,ontology alignment,includes,information retrieval,openie,2
208,semantic descriptions,includes,semantic web technologies,openie,1
209,web ontology language,is,recommendation,openie,1
210,resource description framework (rdf),supports,reasoning algorithms,openie,1
211,web ontology language,includes,world wide web,openie,1
212,semantic search engines,includes,social relationships,openie,1
213,search engines,includes,semantic search engine,openie,3
214,semantic concept,includes,semantic web services,openie,1
215,web ontology language,includes,semantic web technologies,openie,10
216,search engines,includes,resource description framework (rdf),openie,1
217,data warehousing,includes,ontology alignment,openie,1
218,linked data,includes,ontology-based,openie,18
219,ontology alignment,includes,ontology-based,openie,3
220,natural language processing systems,includes,semantic search engines,openie,2
221,fuzzy logics,includes,ontology alignment,openie,1
222,semantic web services,uses,semantic web technologies,openie,1
223,web ontology language,includes,knowledge representation,openie,4
224,xml schemas,includes,web ontology language,openie,2
225,ontology alignment,includes,social networks,openie,1
226,domain-specific ontologies,includes,semantic description,openie,1
227,semantic web technologies,includes,semantic search engine,openie,3
228,linked data,includes,data mining,openie,2
229,semantic interoperability,includes,ontology alignment,openie,1
230,web ontology language,includes,pervasive computing environments,openie,1
231,semantic web services,includes,data integration,openie,1
232,semantic search engines,includes,keyword search,openie,3
233,linked data,includes,knowledge management systems,openie,3
234,semantic search engines,includes,recommendation systems,openie,1
235,semantic web services,includes,grid services,openie,2
236,digital libraries,includes,semantic description,openie,1
237,ontology alignment,includes,web applications,openie,3
238,description logics,includes,semantic search engines,openie,1
239,grid environments,includes,semantic description,openie,1
240,semantic web services,includes,reasoning algorithms,openie,2
241,ontology alignment,includes,semantic interoperability,openie,5
242,linked data,includes,data integration,openie,6
243,linked data,includes,data publishing,openie,2
244,semantic description,includes,computer vision,openie,2
245,ontology integration,includes,semantic web services,openie,3
246,ontology alignment,includes,question answering systems,openie,1
247,wiki,provides,semantic search engines,openie,1
248,resource description framework (rdf),includes,web applications,openie,8
249,modeling languages,includes,semantic web services,openie,2
250,semantic search engine,includes,component-based software engineering,openie,1
251,business process execution language,includes,semantic web services,openie,5
252,ontology alignment,includes,document clustering,openie,1
253,semantic web services,includes,automated reasoning,openie,1
254,linked data,includes,user interface designs,openie,1
255,linked data,includes,learning object metadata,openie,1
256,java,includes,web ontology language,openie,1
257,web ontology language,includes,ontology-based,openie,20
258,ontology alignment,supports,knowledge exchange,openie,1
259,machine translation systems,includes,semantic search engines,openie,1
260,manets,includes,semantic descriptions,openie,2
261,web searches,includes,semantic search engine,openie,1
262,resource description framework (rdf),includes,distributed systems,openie,1
263,semantic web services,includes,semantic descriptions,openie,1
264,resource description framework (rdf),includes,semantic web services,openie,1
265,uml models,includes,web ontology language,openie,1
266,resource description framework (rdf),includes,software agents,openie,2
267,ontology alignment,includes,data integration,openie,2
268,resource description framework (rdf),includes,web searches,openie,1
269,ontology alignment,includes,sensor networks,openie,1
270,linked data,includes,user navigation,openie,1
271,web ontology language,includes,domain knowledge,openie,2
272,ontology alignment,includes,sentence similarity,openie,2
273,semantic search engines,includes,semantic web technologies,openie,12
274,resource description framework (rdf),includes,ontology-based,openie,51
275,ontology alignment,includes,ontology evolution,openie,3
276,web ontology language,includes,information retrieval,openie,1
277,ontology alignment,includes,semantic similarity measures,openie,4
278,ontology alignment,includes,domain-specific ontologies,openie,1
279,semantic search engine,includes,search engines,openie,5
280,linked data,includes,semantic web technologies,openie,24
281,ontology-based,includes,web ontology language,openie,4
282,resource description framework (rdf),defines,ontology-based,openie,5
283,intelligent software agent,includes,semantic web services,openie,1
284,resource description framework (rdf),includes,knowledge exchange,openie,1
285,relational data models,includes,web ontology language,openie,1
286,ontology alignment,includes,information retrieval,openie,4
287,semantic web services,includes,semantic relationships,openie,1
288,semantic description,includes,software agents,openie,1
289,semantic search engines,includes,domain knowledge,openie,1
290,semantic web technologies,uses,resource description framework (rdf),openie,3
291,knowledge bases,includes,web ontology language,openie,1
292,semantic similarity measures,includes,ontology alignment,openie,1
293,web ontology language,includes,semantic web technologies,openie,44
294,web ontology language,includes,web applications,openie,1
295,clustering algorithms,includes,ontology alignment,openie,1
296,link prediction,includes,semantic search engines,openie,1
297,ontology alignment,includes,virtual spaces,openie,1
298,sparql,includes,semantic search engines,openie,3
299,web ontology language,includes,search engines,openie,1
300,domain-specific ontologies,includes,linked data,openie,1
301,resource description framework (rdf),includes,context information,openie,1
302,semantic web services,includes,semantic web service discovery,openie,4
303,linked data,includes,reasoning algorithms,openie,2
304,semantic web services,includes,knowledge engineering,openie,2
305,ontology alignment,includes,product design,openie,1
306,web service composition,includes,semantic web services,openie,3
307,semantic search engine,includes,relation extraction,openie,1
308,resource description framework (rdf),includes,content management,openie,1
309,web ontology language,includes,sparql,openie,35
310,ajax,includes,linked data,openie,1
311,linked data,includes,linked data,openie,7
312,knowledge discovery,includes,linked data,openie,1
313,semantic description,includes,service compositions,openie,1
314,search engines,includes,ontology alignment,openie,1
315,semantic web services,automates,web services discovery,openie,1
316,trust management,includes,semantic web services,openie,1
317,query expansion,includes,ontology alignment,openie,2
318,knowledge representation,includes,ontology alignment,openie,1
319,web ontology language,includes,web ontology language,openie,18
320,linked data,includes,computer science,openie,1
321,schema matching,includes,ontology alignment,openie,4
322,web ontology language,includes,access control mechanism,openie,1
323,semantic search engine,includes,biomedical imaging,openie,1
324,semantic search engines,includes,ontology-based,openie,4
325,semantic search engines,includes,agent technology,openie,1
326,ontology-based,includes,resource description framework (rdf),openie,7
327,web ontology language,includes,semantic web technologies,openie,5
328,semantic search engines,includes,reasoning algorithms,openie,1
329,adaptive hypermedia,includes,semantic search engines,openie,1
330,semantic web technologies,includes,ontology alignment,openie,10
331,linked data,includes,mobile devices,openie,1
332,web ontology language,includes,distributed environments,openie,1
333,resource description framework (rdf),includes,linked data,openie,7
334,information retrieval,includes,ontology alignment,openie,1
335,linked data,provides,sparql,openie,1
336,semantic search engine,includes,image compression,openie,1
337,semantic web technologies,includes,semantic search engines,openie,4
338,semantic web technologies,includes,web ontology language,openie,1
339,resource description framework (rdf),includes,digital libraries,openie,2
340,semantic search engines,includes,semantic web services,openie,1
341,resource description framework (rdf),includes,ontology-based,openie,9
342,ontology alignment,includes,answering queries,openie,1
343,web ontology language,defines,ontology-based,openie,3
344,resource description framework (rdf),includes,semantic web technologies,openie,67
345,ontology alignment,includes,query expansion,openie,1
346,linked data,uses,natural languages,openie,1
347,ontology evolution,includes,semantic search engines,openie,1
348,email,includes,semantic search engines,openie,2
349,recommendation,includes,linked data,openie,1
350,ontology alignment,includes,ontology evolution,openie,1
351,rule engine,includes,semantic web services,openie,2
352,semantic relationships,includes,semantic search engines,openie,14
353,spam filtering,includes,ontology alignment,openie,1
354,visualization,includes,semantic search engine,openie,1
355,semantic search engines,includes,cloud computing,openie,1
356,web ontology language,includes,web ontology language,openie,1
357,web ontology language,includes,domain-specific ontologies,openie,3
358,ontology alignment,includes,text mining,openie,2
359,context modeling,includes,ontology alignment,openie,1
360,wordnet,includes,resource description framework (rdf),openie,1
361,ontology-based,includes,semantic search engine,openie,7
362,semantic web services,includes,matching algorithm,openie,1
363,semantic web technologies,includes,resource description framework (rdf),openie,3
364,semantic search engines,requires,search engines,openie,4
365,cognitive science,includes,ontology alignment,openie,1
366,argumentation,includes,ontology alignment,openie,1
367,concept lattices,includes,ontology alignment,openie,1
368,semantic description,supports,automation,openie,1
369,semantic description,supports,reasoning algorithms,openie,1
370,web ontology language,includes,social networks,openie,2
371,semantic search engines,includes,adaptive hypermedia,openie,1
372,web ontology language,includes,modeling languages,openie,4
373,business logic,includes,semantic web services,openie,1
374,ontology language,includes,semantic description,openie,2
375,resource description framework (rdf),includes,ajax,openie,2
376,web servers,provides,resource description framework (rdf),openie,1
377,knowledge bases,includes,semantic description,openie,2
378,resource description framework (rdf),includes,data integration,openie,1
379,resource description framework (rdf),includes,web ontology language,openie,8
380,semantic description,includes,semantic web services,openie,7
381,ontology alignment,includes,semantic web service discovery,openie,2
382,text mining,includes,semantic search engines,openie,1
383,semantic search engine,includes,text clustering,openie,1
384,linked data,includes,source codes,openie,1
385,sparql,includes,semantic descriptions,openie,1
386,semantic descriptions,uses,semantic web technologies,openie,1
387,domain-specific ontologies,includes,semantic web services,openie,6
388,semantic web services,includes,information retrieval,openie,1
389,sparql,includes,resource description framework (rdf),openie,13
390,e - learnings,includes,semantic web services,openie,1
391,ontology alignment,includes,evaluation system,openie,1
392,semantic search engines,includes,visualization,openie,1
393,semantic search engines,includes,semantic web technologies,openie,1
394,web ontology language,includes,linked data,openie,1
395,web ontology language,provides,web ontology language,openie,4
396,web ontology language,includes,ontology development,openie,2
397,access control,includes,semantic web services,openie,4
398,natural language processing systems,includes,semantic web services,openie,2
399,ontology-based,supports,semantic search engines,openie,3
400,web ontology language,includes,context reasoning,openie,1
401,linked data,includes,inference,openie,1
402,mobile devices,includes,semantic web services,openie,1
