,s,p,o,source,support
0,linked data,produces,parsing algorithm,heuristic,5
1,resource description framework (rdf),is,linked data,heuristic,13
2,semantic description,publishes,semantic similarity measures,heuristic,2
3,linked data,supports,answering queries,heuristic,1
4,linked data,supports,web contents,heuristic,1
5,automated reasoning,is,web ontology language,heuristic,2
6,automatic classification,conjunction,ontology alignment,heuristic,1
7,semantic web services,improves,automation,heuristic,26
8,semantic relationships,represents,semantic web services,heuristic,2
9,ontology alignment,defines,wordnet,heuristic,5
10,resource description framework (rdf),conjunction,fuzzy ontology,heuristic,1
11,data management,requires,linked data,heuristic,2
12,data integration,is,ontology alignment,heuristic,5
13,web ontology language,uses,pattern,heuristic,1
14,web ontology language,uses,pervasive computing environments,heuristic,1
15,semantic descriptions,is,semantic web technologies,heuristic,1
16,ontology alignment,proposes,relational database systems,heuristic,3
17,semantic web rule languages,represents,web ontology language,heuristic,74
18,resource description framework (rdf),represents,logic programming,heuristic,2
19,agent-based,conjunction,semantic web services,heuristic,1
20,text mining,conjunction,ontology alignment,heuristic,1
21,semantic web services,is,pervasive computing,heuristic,1
22,ontology technology,conjunction,semantic web services,heuristic,2
23,semantic search engines,combines,grid computing,heuristic,2
24,ontology alignment,is,semantic web technologies,heuristic,8
25,ontology language,defines,web ontology language,heuristic,41
26,web ontology language,acquires,linked data,heuristic,2
27,semantic description,uses,web ontology language,heuristic,5
28,linked data,produces,dbpedia,heuristic,19
29,ontology alignment,uses,semantic web services,heuristic,1
30,rdf graph,proposes,resource description framework (rdf),heuristic,10
31,pattern,supports,semantic descriptions,heuristic,4
32,resource description framework (rdf),conjunction,relational data models,heuristic,1
33,cloud computing,conjunction,semantic search engines,heuristic,1
34,web ontology language,supports,sharing knowledge,heuristic,3
35,semantic web services,matches,electronic data interchange,heuristic,1
36,shortest paths,produces,resource description framework (rdf),heuristic,1
37,linked data,conjunction,ontology construction,heuristic,1
38,recommendation,is,resource description framework (rdf),heuristic,8
39,ontology alignment,improves,web usage,heuristic,1
40,user interfaces,uses,semantic descriptions,heuristic,1
41,ontology construction,conjunction,ontology alignment,heuristic,2
42,semantic web service discovery,base,semantic web services,heuristic,9
43,semantic descriptions,is,component-based software engineering,heuristic,1
44,web ontology language,provides,data warehouses,heuristic,1
45,programming languages,uses,web ontology language,heuristic,3
46,resource description framework (rdf),supports,query processing,heuristic,1
47,semantic web technologies,includes,semantic search engines,heuristic,6
48,user profiling,conjunction,semantic search engines,heuristic,1
49,resource description framework (rdf),provides,semantic web technologies,heuristic,282
50,information retrieval,uses,semantic description,heuristic,1
51,faculty,proposes,resource description framework (rdf),heuristic,1
52,verification,is,ontology alignment,heuristic,1
53,web ontology language,acquires,conditional probabilities,heuristic,1
54,semantic desktop,base,resource description framework (rdf),heuristic,1
55,semantic web technologies,conjunction,ontology alignment,heuristic,1
56,ontology alignment,conjunction,information retrieval,heuristic,2
57,resource description framework (rdf),supports,semantic search engines,heuristic,1
58,semantic web services,is,ubiquitous computing,heuristic,1
59,ontology alignment,is,ontology merging,heuristic,4
60,data mining,conjunction,semantic search engines,heuristic,1
61,semantic search engine,uses,biomedical literature,heuristic,1
62,grid computing,provides,semantic web services,heuristic,3
63,mashup,selects,semantic web services,heuristic,2
64,web ontology language,includes,context reasoning,heuristic,4
65,semantic similarity measures,proposes,semantic description,heuristic,2
66,knowledge management,provides,semantic web services,heuristic,2
67,resource description framework (rdf),analyzes,semantic web technologies,heuristic,3
68,ontology alignment,selects,semantic similarity measures,heuristic,1
69,learning,uses,semantic search engine,heuristic,1
70,ontology alignment,conjunction,search engines,heuristic,1
71,ontology alignment,uses,image retrieval,heuristic,1
72,linked data,provides,data integration,heuristic,20
73,resource description framework (rdf),proposes,web contents,heuristic,4
74,ontology alignment,selects,ontology-based,heuristic,260
75,ontology language,proposes,semantic description,heuristic,1
76,ontology alignment,supports,knowledge exchange,heuristic,1
77,component-based software engineering,selects,semantic web services,heuristic,4
78,resource description framework (rdf),produces,geology,heuristic,1
79,resource description framework (rdf),provides,reasoning algorithms,heuristic,22
80,world wide web,proposes,semantic web services,heuristic,2
81,web services discovery,proposes,semantic web services,heuristic,16
82,web ontology language,proposes,vocabulary,heuristic,7
83,semantic web services,is,service matching,heuristic,10
84,saam,publishes,linked data,heuristic,1
85,learning,is,linked data,heuristic,3
86,ontology alignment,limits,semantic heterogeneity,heuristic,8
87,linked data,links,cycle,heuristic,2
88,semantic search engines,conjunction,machine learning techniques,heuristic,1
89,semantic search engines,analyzes,information needs,heuristic,10
90,resource description framework (rdf),conjunction,content management,heuristic,1
91,web ontology language,represents,t s fuzzy system,heuristic,2
92,web ontology language,produces,web applications,heuristic,3
93,ontology alignment,is,data exchange,heuristic,1
94,resource description framework (rdf),represents,t s fuzzy system,heuristic,1
95,boosting algorithm,proposes,semantic web services,heuristic,2
96,ontology alignment,uses,query expansion,heuristic,2
97,multi-agents,conjunction,semantic web services,heuristic,1
98,web ontology language,improves,service matching,heuristic,1
99,semantic web services,produces,web applications,heuristic,6
100,internet,proposes,resource description framework (rdf),heuristic,6
101,semantic web services,produces,ontology-based,heuristic,130
102,ontology evolution,conjunction,ontology alignment,heuristic,1
103,linked data,provides,libraries,heuristic,83
104,information fusion,conjunction,semantic search engines,heuristic,1
105,resource description framework (rdf),produces,semantic web technologies,heuristic,3
106,dbpedia,base,semantic description,heuristic,1
107,semantic web technologies,provides,web ontology language,heuristic,24
108,libraries,provides,linked data,heuristic,95
109,information integration,conjunction,semantic search engines,heuristic,2
110,linked data,uses,domain-specific ontologies,heuristic,1
111,ontology-based,defines,web ontology language,heuristic,225
112,web ontology language,conjunction,pattern recognition,heuristic,1
113,resource description framework (rdf),matches,matching algorithm,heuristic,1
114,testing and debugging,conjunction,ontology alignment,heuristic,1
115,security policies,base,web ontology language,heuristic,2
116,ontology alignment,uses,linked data,heuristic,1
117,universities,supports,semantic web services,heuristic,1
118,text document,selects,resource description framework (rdf),heuristic,2
119,knowledge management systems,base,linked data,heuristic,1
120,education,uses,linked data,heuristic,1
121,web ontology language,is,dynamic service composition,heuristic,1
122,resource description framework (rdf),supports,display,heuristic,4
123,natural language interfaces,selects,semantic description,heuristic,1
124,ontology alignment,acquires,posterior probability,heuristic,1
125,ontology alignment,conjunction,ontology merging,heuristic,2
126,web ontology language,represents,undirected graph,heuristic,1
127,linked data,is,keyword search,heuristic,1
128,semantic description,supports,software agents,heuristic,1
129,ontology alignment,conjunction,ontology construction,heuristic,2
130,semantic web technologies,combines,web ontology language,heuristic,102
131,web ontology language,provides,computability,heuristic,2
132,web ontology language,converts,xml schemas,heuristic,12
133,ontology alignment,selects,learning,heuristic,6
134,rule engine,conjunction,resource description framework (rdf),heuristic,1
135,semantic web services,is,engineering,heuristic,1
136,ontology alignment,represents,information integration,heuristic,4
137,web ontology language,produces,domain knowledge,heuristic,12
138,communication protocols,produces,web ontology language,heuristic,3
139,architecture viewpoints,uses,ontology alignment,heuristic,1
140,data integration,is,web ontology language,heuristic,2
141,semantic description,uses,ontology-based,heuristic,22
142,grid services,publishes,web ontology language,heuristic,1
143,ontology alignment,conjunction,clustering algorithms,heuristic,3
144,resource description framework (rdf),represents,knowledge management systems,heuristic,2
145,semantic description,acquires,database systems,heuristic,3
146,linked data,uses,personalizations,heuristic,1
147,semantic web services,base,description logics,heuristic,8
148,electrical discharge machining,provides,linked data,heuristic,1
149,xpath,conjunction,resource description framework (rdf),heuristic,1
150,social networks,provides,linked data,heuristic,7
151,semantic description,improves,image retrieval,heuristic,1
152,semantic relationships,provides,semantic description,heuristic,1
153,ontology alignment,combines,ontology construction,heuristic,1
154,semantic web services,provides,information sharing,heuristic,2
155,semantic data,produces,resource description framework (rdf),heuristic,1
156,description logics,provides,web ontology language,heuristic,26
157,linked data,conjunction,explicit knowledge,heuristic,1
158,semantic search engine,extends,text mining,heuristic,1
159,evolutionary algorithms,supports,ontology alignment,heuristic,2
160,resource description framework (rdf),produces,semantic web services,heuristic,10
161,natural language processing systems,publishes,linked data,heuristic,6
162,verification,represents,semantic description,heuristic,3
163,linked data,base,fuzzy sets theory,heuristic,1
164,reasoning algorithms,produces,semantic description,heuristic,5
165,semantic web technologies,provides,semantic web services,heuristic,103
166,resource description framework (rdf),represents,enterprise architecture,heuristic,1
167,semantic web services,automates,service compositions,heuristic,1
168,word sense disambiguation,conjunction,ontology alignment,heuristic,1
169,semantic search engines,uses,semantic similarity measures,heuristic,7
170,web ontology language,provides,web ontology language,heuristic,36
171,semantic search engines,produces,description logics,heuristic,1
172,semantic wikis,conjunction,semantic web services,heuristic,2
173,quality of information,limits,semantic search engines,heuristic,2
174,semantic web services,conjunction,image annotation,heuristic,1
175,intelligent agents,queries,semantic description,heuristic,1
176,web ontology language,provides,validation,heuristic,2
177,resource description framework (rdf),represents,web engineering,heuristic,1
178,dbpedia,produces,resource description framework (rdf),heuristic,13
179,web ontology language,provides,testing and debugging,heuristic,1
180,supervised machine learning,uses,web ontology language,heuristic,1
181,web ontology language,lacks,cooperative works,heuristic,1
182,linked data,supports,mashup,heuristic,9
183,web contents,selects,semantic description,heuristic,2
184,natural language processing systems,converts,web ontology language,heuristic,1
185,web ontology language,is,resource description framework (rdf),heuristic,4
186,dbpedia,uses,ontology alignment,heuristic,1
187,semantic web services,provides,automatic composition,heuristic,6
188,ontology alignment,is,semantic concept,heuristic,2
189,probability,converts,web ontology language,heuristic,1
190,semantic web services,automates,verification,heuristic,1
191,data mining process,proposes,semantic web services,heuristic,2
192,semantic descriptions,is,content management systems,heuristic,2
193,database systems,affects,resource description framework (rdf),heuristic,4
194,linked data,provides,python,heuristic,4
195,ontology alignment,matches,communication,heuristic,3
196,resource description framework (rdf),is,community of practice,heuristic,1
197,universities,is,resource description framework (rdf),heuristic,4
198,domain-specific ontologies,proposes,ontology alignment,heuristic,3
199,resource description framework (rdf),base,vocabulary,heuristic,1
200,routing algorithms,uses,semantic web services,heuristic,1
201,information exchanges,is,resource description framework (rdf),heuristic,3
202,linked data,provides,javascript,heuristic,8
203,ontology alignment,conjunction,information systems,heuristic,1
204,web ontology language,improves,information retrieval,heuristic,2
205,web applications,base,resource description framework (rdf),heuristic,9
206,resource description framework (rdf),produces,information contents,heuristic,2
207,ontology learning,conjunction,ontology alignment,heuristic,1
208,web ontology language,defines,autonomous agents,heuristic,2
209,question answering systems,links,linked data,heuristic,8
210,resource description framework (rdf),uses,mobile devices,heuristic,1
211,linked data,includes,web ontology language,heuristic,3
212,resource description framework (rdf),base,ubiquitous environments,heuristic,2
213,semantic relationships,converts,resource description framework (rdf),heuristic,2
214,description logics,uses,resource description framework (rdf),heuristic,4
215,semantic description,base,semantic descriptions,heuristic,1
216,linked data,conjunction,knowledge-sharing,heuristic,1
217,database systems,selects,linked data,heuristic,9
218,resource description framework (rdf),base,product design,heuristic,1
219,ontology alignment,uses,decision tables,heuristic,1
220,pattern,includes,semantic description,heuristic,3
221,semantic search engines,conjunction,user profiling,heuristic,1
222,mediawiki,supports,semantic web services,heuristic,1
223,process modelling,conjunction,linked data,heuristic,1
