,s,p,o,source,support
0,web ontology language,includes,semantic web technologies,openie,9
1,web ontology language,provides,knowledge representation,heuristic,13
2,semantic web services,uses,semantic web technologies,heuristic,96
3,resource description framework (rdf),is,linked data,heuristic,13
4,semantic web technologies,provides,web ontology language,heuristic,24
5,libraries,provides,linked data,heuristic,95
6,ontology alignment,is,information retrieval,heuristic,9
7,semantic search engine,proposes,search engines,heuristic,16
8,web ontology language,includes,ontology-based,openie,20
9,resource description framework (rdf),represents,ontology-based,heuristic,36
10,web ontology language,includes,semantic web rule languages,openie,50
11,ontology-based,defines,web ontology language,heuristic,225
12,user interfaces,represents,linked data,heuristic,9
13,ontology alignment,includes,semantic web technologies,openie,10
14,description logics,provides,web ontology language,heuristic,22
15,knowledge bases,represents,resource description framework (rdf),heuristic,16
16,linked data,provides,resource description framework (rdf),heuristic,63
17,search engines,includes,semantic search engine,heuristic,9
18,ontology-based,acquires,ontology alignment,heuristic,81
19,semantic search engines,uses,ontology-based,heuristic,53
20,resource description framework (rdf),provides,internet,heuristic,15
21,semantic web services,improves,automation,heuristic,26
22,resource description framework (rdf),acquires,domain knowledge,heuristic,10
23,semantic search engines,includes,semantic web technologies,openie,12
24,resource description framework (rdf),includes,ontology-based,openie,51
25,linked data,produces,world wide web,heuristic,12
26,semantic web technologies,provides,semantic search engines,heuristic,18
27,linked data,includes,semantic web technologies,openie,24
28,knowledge representation,uses,web ontology language,heuristic,16
29,ontology alignment,includes,semantic interoperability,openie,10
30,web ontology language,includes,semantic web technologies,openie,44
31,semantic relationships,represents,semantic search engines,heuristic,15
32,extensible markup language,includes,resource description framework (rdf),openie,15
33,resource description framework (rdf),is,semantic web technologies,heuristic,87
34,semantic web rule languages,represents,web ontology language,heuristic,74
35,knowledge representation,analyzes,resource description framework (rdf),heuristic,14
36,ontology alignment,is,semantic interoperability,heuristic,18
37,semantic web technologies,combines,web ontology language,heuristic,102
38,database systems,produces,resource description framework (rdf),heuristic,23
39,resource description framework (rdf),includes,web contents,heuristic,10
40,web ontology language,converts,xml schemas,heuristic,12
41,resource description framework (rdf),includes,ontology language,openie,12
42,ontology alignment,provides,ontology integration,heuristic,14
43,semantic search engine,provides,semantic web technologies,heuristic,9
44,speech recognition,base,semantic search engines,heuristic,12
45,web ontology language,provides,reasoning algorithms,heuristic,80
46,ontology-based,includes,linked data,openie,16
47,ontology language,defines,web ontology language,heuristic,41
48,web ontology language,produces,domain knowledge,heuristic,12
49,ontology alignment,is,data integration,heuristic,15
50,web ontology language,includes,ontology language,openie,36
51,semantic description,uses,ontology-based,heuristic,22
52,linked data,provides,semantic web technologies,heuristic,29
53,web ontology language,includes,sparql,openie,35
54,resource description framework (rdf),acquires,semantic relationships,heuristic,16
55,semantic search engine,provides,ontology-based,heuristic,19
56,linked data,analyzes,semantic web technologies,heuristic,10
57,knowledge bases,uses,web ontology language,heuristic,9
58,resource description framework (rdf),is,world wide web,heuristic,11
59,web ontology language,includes,web ontology language,openie,45
60,web ontology language,includes,web ontology language,openie,18
61,linked data,converts,vocabulary,heuristic,9
62,ontology-based,provides,semantic search engines,heuristic,48
63,ontology alignment,proposes,ontology merging,heuristic,20
64,web ontology language,represents,ontology-based,heuristic,78
65,semantic search engines,is,information retrieval,heuristic,9
66,web ontology language,converts,description logics,heuristic,21
67,linked data,produces,dbpedia,heuristic,19
68,sparql,is,resource description framework (rdf),heuristic,151
69,semantic web technologies,provides,resource description framework (rdf),heuristic,329
70,semantic web technologies,supports,linked data,heuristic,14
71,web ontology language,includes,semantic web technologies,openie,23
72,resource description framework (rdf),defines,xml schemas,heuristic,13
73,rdf graph,proposes,resource description framework (rdf),heuristic,10
74,semantic web technologies,includes,ontology alignment,openie,10
75,semantic web services,is,component-based software engineering,heuristic,13
76,broker pattern,provides,semantic web services,heuristic,12
77,web ontology language,includes,ontology-based,openie,27
78,linked data,produces,internet,heuristic,19
79,information retrieval,uses,semantic search engines,heuristic,15
80,resource description framework (rdf),converts,relational database systems,heuristic,36
81,web ontology language,defines,domain knowledge,heuristic,11
82,vocabulary,represents,resource description framework (rdf),heuristic,15
83,description logics,includes,web ontology language,openie,10
84,web ontology language,base,sparql,heuristic,22
85,ontology-based,uses,resource description framework (rdf),heuristic,44
86,description logics,provides,web ontology language,heuristic,26
87,web ontology language,supports,web ontology language,heuristic,27
88,xml schemas,provides,web ontology language,heuristic,9
89,world wide web,publishes,resource description framework (rdf),heuristic,9
90,semantic relationships,supports,semantic web services,heuristic,19
91,web ontology language,proposes,semantic web rule languages,heuristic,75
92,resource description framework (rdf),includes,ontology-based,openie,9
93,resource description framework (rdf),produces,semantic web services,heuristic,10
94,resource description framework (rdf),includes,semantic web technologies,openie,67
95,web contents,affects,resource description framework (rdf),heuristic,12
96,semantic web service discovery,base,semantic web services,heuristic,9
97,sparql,queries,web ontology language,heuristic,20
98,semantic web technologies,is,ontology alignment,heuristic,19
99,semantic relationships,includes,semantic search engines,openie,14
100,ontology-based,includes,semantic web services,openie,39
101,ontology alignment,includes,ontology alignment,openie,28
102,semantic search engines,improves,keyword search,heuristic,9
103,web ontology language,uses,relational database systems,heuristic,10
104,resource description framework (rdf),guides,knowledge representation,heuristic,27
105,semantic web services,provides,reasoning algorithms,heuristic,17
106,semantic search engines,is,reasoning algorithms,heuristic,11
107,reasoning algorithms,uses,web ontology language,heuristic,35
108,linked data,uses,resource description framework (rdf),heuristic,13
109,ontology-based,uses,web ontology language,openie,9
110,resource description framework (rdf),uses,web applications,heuristic,9
111,semantic web technologies,provides,semantic web services,heuristic,103
112,web ontology language,provides,resource description framework (rdf),heuristic,245
113,ontology-based,defines,semantic web services,heuristic,119
114,web ontology language,provides,web ontology language,heuristic,36
115,resource description framework (rdf),uses,web ontology language,heuristic,237
116,web ontology language,is,ontology language,heuristic,29
117,ontology-based,includes,semantic search engines,openie,22
118,search engines,proposes,semantic web services,heuristic,10
119,automation,recommends,semantic web services,heuristic,9
120,ontology-based,produces,ontology alignment,heuristic,35
121,resource description framework (rdf),provides,ontology-based,heuristic,186
122,resource description framework (rdf),provides,semantic web technologies,heuristic,282
123,web ontology language,supports,inference,heuristic,10
124,semantic web services,provides,semantic relationships,heuristic,12
125,dbpedia,publishes,linked data,heuristic,21
126,ontology-based,provides,linked data,heuristic,72
127,sparql,includes,resource description framework (rdf),openie,13
128,ontology-based,includes,ontology alignment,openie,11
129,resource description framework (rdf),includes,semantic web technologies,openie,17
130,web ontology language,uses,semantic web technologies,heuristic,19
131,ontology alignment,is,semantic web technologies,heuristic,32
132,resource description framework (rdf),includes,semantic web technologies,openie,64
133,dbpedia,produces,resource description framework (rdf),heuristic,13
134,search engines,provides,semantic search engines,heuristic,19
135,semantic web technologies,provides,resource description framework (rdf),heuristic,42
136,sparql,is,resource description framework (rdf),heuristic,23
137,resource description framework (rdf),provides,world wide web,heuristic,22
138,linked open data,includes,resource description framework (rdf),heuristic,10
139,linked data,includes,semantic web technologies,openie,10
140,semantic web technologies,improves,semantic description,heuristic,21
141,ontology-based,includes,web ontology language,openie,22
142,ontology-based,provides,semantic description,heuristic,40
