,s,p,o,source,support
0,linked data,produces,parsing algorithm,heuristic,5
1,resource description framework (rdf),is,linked data,heuristic,13
2,semantic description,publishes,semantic similarity measures,heuristic,2
3,linked data,supports,answering queries,heuristic,1
4,artificial intelligence,includes,semantic search engines,openie,3
5,linked data,supports,web contents,heuristic,1
6,automated reasoning,is,web ontology language,heuristic,2
7,ontology alignment,includes,data integration,openie,5
8,automatic classification,conjunction,ontology alignment,heuristic,1
9,web services discovery,includes,semantic description,openie,1
10,semantic web services,improves,automation,heuristic,26
11,semantic relationships,represents,semantic web services,heuristic,2
12,ontology alignment,defines,wordnet,heuristic,5
13,resource description framework (rdf),includes,graphical representations,openie,1
14,resource description framework (rdf),conjunction,fuzzy ontology,heuristic,1
15,data management,requires,linked data,heuristic,2
16,resource description framework (rdf),includes,domain-specific ontologies,openie,1
17,image processing,includes,semantic web services,openie,1
18,service execution,includes,semantic web services,openie,1
19,data integration,is,ontology alignment,heuristic,5
20,semantic description,includes,semantic similarity measures,openie,1
21,web ontology language,uses,pattern,heuristic,1
22,web ontology language,uses,pervasive computing environments,heuristic,1
23,semantic descriptions,is,semantic web technologies,heuristic,1
24,ontology alignment,proposes,relational database systems,heuristic,3
25,semantic web rule languages,represents,web ontology language,heuristic,74
26,resource description framework (rdf),represents,logic programming,heuristic,2
27,semantic search engines,includes,question answering systems,openie,5
28,agent-based,conjunction,semantic web services,heuristic,1
29,text mining,conjunction,ontology alignment,heuristic,1
30,semantic web services,is,pervasive computing,heuristic,1
31,ontology technology,conjunction,semantic web services,heuristic,2
32,semantic search engines,combines,grid computing,heuristic,2
33,ontology alignment,is,semantic web technologies,heuristic,8
34,ontology language,defines,web ontology language,heuristic,41
35,ontology-based,includes,linked data,openie,16
36,web ontology language,acquires,linked data,heuristic,2
37,linked data,includes,web contents,openie,1
38,semantic description,uses,web ontology language,heuristic,5
39,ontology building,includes,ontology alignment,openie,2
40,linked data,includes,resource description framework (rdf),openie,2
41,linked data,produces,dbpedia,heuristic,19
42,ontology alignment,uses,semantic web services,heuristic,1
43,semantic relationships,includes,semantic web services,openie,4
44,semantic web service discovery,includes,semantic search engines,openie,1
45,rdf graph,proposes,resource description framework (rdf),heuristic,10
46,pattern,supports,semantic descriptions,heuristic,4
47,resource description framework (rdf),conjunction,relational data models,heuristic,1
48,cloud computing,conjunction,semantic search engines,heuristic,1
49,web ontology language,supports,sharing knowledge,heuristic,3
50,semantic web services,matches,electronic data interchange,heuristic,1
51,shortest paths,produces,resource description framework (rdf),heuristic,1
52,linked data,conjunction,ontology construction,heuristic,1
53,recommendation,is,resource description framework (rdf),heuristic,8
54,ontology alignment,improves,web usage,heuristic,1
55,linked data,includes,software architecture patterns,openie,2
56,user interfaces,uses,semantic descriptions,heuristic,1
57,ontology construction,conjunction,ontology alignment,heuristic,2
58,clone detection,includes,ontology alignment,openie,1
59,semantic web service discovery,base,semantic web services,heuristic,9
60,semantic descriptions,is,component-based software engineering,heuristic,1
61,posterior probability,includes,ontology alignment,openie,1
62,web ontology language,provides,data warehouses,heuristic,1
63,linked data,provides,background knowledge,openie,1
64,programming languages,uses,web ontology language,heuristic,3
65,ontology-based,uses,web ontology language,openie,9
66,distributed applications,includes,semantic web services,openie,1
67,community detection,includes,semantic search engines,openie,2
68,resource description framework (rdf),supports,query processing,heuristic,1
69,database systems,includes,semantic search engine,openie,2
70,semantic web technologies,includes,semantic search engines,heuristic,6
71,user profiling,conjunction,semantic search engines,heuristic,1
72,resource description framework (rdf),provides,semantic web technologies,heuristic,282
73,information retrieval,uses,semantic description,heuristic,1
74,faculty,proposes,resource description framework (rdf),heuristic,1
75,verification,is,ontology alignment,heuristic,1
76,web ontology language,acquires,conditional probabilities,heuristic,1
77,semantic desktop,base,resource description framework (rdf),heuristic,1
78,semantic web technologies,conjunction,ontology alignment,heuristic,1
79,ontology alignment,conjunction,information retrieval,heuristic,2
80,resource description framework (rdf),includes,information exchanges,openie,1
81,resource description framework (rdf),supports,semantic search engines,heuristic,1
82,mashup,selects,semantic web services,openie,1
83,semantic web services,is,ubiquitous computing,heuristic,1
84,ontology alignment,is,ontology merging,heuristic,4
85,data mining,conjunction,semantic search engines,heuristic,1
86,semantic search engine,uses,biomedical literature,heuristic,1
87,knowledge bases,includes,semantic search engines,openie,4
88,semantic web services,includes,web service selection,openie,1
89,linked data,includes,education,openie,1
90,grid computing,provides,semantic web services,heuristic,3
91,mashup,selects,semantic web services,heuristic,2
92,semantic wikis,includes,ontology alignment,openie,1
93,web ontology language,includes,context reasoning,heuristic,4
94,extensible markup language,includes,resource description framework (rdf),openie,2
95,semantic similarity measures,proposes,semantic description,heuristic,2
96,knowledge management,provides,semantic web services,heuristic,2
97,semantic description,includes,database systems,openie,3
98,resource description framework (rdf),analyzes,semantic web technologies,heuristic,3
99,ontology alignment,selects,semantic similarity measures,heuristic,1
100,relational database systems,includes,web ontology language,openie,1
101,learning,uses,semantic search engine,heuristic,1
102,grid environments,includes,ontology alignment,openie,2
103,ontology alignment,conjunction,search engines,heuristic,1
104,ontology alignment,uses,image retrieval,heuristic,1
105,linked data,provides,data integration,heuristic,20
106,resource description framework (rdf),proposes,web contents,heuristic,4
107,ontology alignment,selects,ontology-based,heuristic,260
108,semantic data,includes,resource description framework (rdf),openie,1
109,resource description framework (rdf),includes,linked open data,openie,4
110,ontology language,proposes,semantic description,heuristic,1
111,ontology alignment,supports,knowledge exchange,heuristic,1
112,resource description framework (rdf),includes,ontology language,openie,1
113,component-based software engineering,selects,semantic web services,heuristic,4
114,web ontology language,includes,semantic description,openie,2
115,resource description framework (rdf),produces,geology,heuristic,1
116,web ontology language,includes,ontology language,openie,4
117,resource description framework (rdf),provides,reasoning algorithms,heuristic,22
118,ontology alignment,includes,automated systems,openie,1
119,world wide web,proposes,semantic web services,heuristic,2
120,web services discovery,proposes,semantic web services,heuristic,16
121,web ontology language,proposes,vocabulary,heuristic,7
122,semantic web services,is,service matching,heuristic,10
123,saam,publishes,linked data,heuristic,1
124,learning,is,linked data,heuristic,3
125,natural languages,includes,linked data,openie,1
126,ontology alignment,limits,semantic heterogeneity,heuristic,8
127,semantic descriptions,includes,semantic web technologies,openie,1
128,ontology alignment,includes,information retrieval,openie,2
129,linked data,links,cycle,heuristic,2
130,semantic search engines,conjunction,machine learning techniques,heuristic,1
131,semantic search engines,analyzes,information needs,heuristic,10
132,search engines,includes,semantic search engine,openie,3
133,semantic concept,includes,semantic web services,openie,1
134,resource description framework (rdf),conjunction,content management,heuristic,1
135,web ontology language,includes,semantic web technologies,openie,10
136,web ontology language,represents,t s fuzzy system,heuristic,2
137,web ontology language,produces,web applications,heuristic,3
138,data warehousing,includes,ontology alignment,openie,1
139,ontology alignment,is,data exchange,heuristic,1
140,resource description framework (rdf),represents,t s fuzzy system,heuristic,1
141,boosting algorithm,proposes,semantic web services,heuristic,2
142,semantic web services,uses,semantic web technologies,openie,1
143,web ontology language,includes,knowledge representation,openie,4
144,ontology alignment,uses,query expansion,heuristic,2
145,multi-agents,conjunction,semantic web services,heuristic,1
146,web ontology language,improves,service matching,heuristic,1
147,linked data,includes,data mining,openie,2
148,semantic web services,produces,web applications,heuristic,6
149,semantic search engines,includes,recommendation systems,openie,1
150,internet,proposes,resource description framework (rdf),heuristic,6
151,digital libraries,includes,semantic description,openie,1
152,description logics,includes,semantic search engines,openie,1
153,semantic web services,produces,ontology-based,heuristic,130
154,ontology evolution,conjunction,ontology alignment,heuristic,1
155,linked data,provides,libraries,heuristic,83
156,information fusion,conjunction,semantic search engines,heuristic,1
157,resource description framework (rdf),produces,semantic web technologies,heuristic,3
158,dbpedia,base,semantic description,heuristic,1
159,resource description framework (rdf),includes,web applications,openie,8
160,semantic web technologies,provides,web ontology language,heuristic,24
161,libraries,provides,linked data,heuristic,95
162,linked data,includes,user interface designs,openie,1
163,linked data,includes,learning object metadata,openie,1
164,information integration,conjunction,semantic search engines,heuristic,2
165,linked data,uses,domain-specific ontologies,heuristic,1
166,ontology-based,defines,web ontology language,heuristic,225
167,web ontology language,conjunction,pattern recognition,heuristic,1
168,resource description framework (rdf),matches,matching algorithm,heuristic,1
169,testing and debugging,conjunction,ontology alignment,heuristic,1
170,security policies,base,web ontology language,heuristic,2
171,semantic web services,includes,semantic descriptions,openie,1
172,ontology alignment,uses,linked data,heuristic,1
173,universities,supports,semantic web services,heuristic,1
174,uml models,includes,web ontology language,openie,1
175,text document,selects,resource description framework (rdf),heuristic,2
176,knowledge management systems,base,linked data,heuristic,1
177,education,uses,linked data,heuristic,1
178,web ontology language,is,dynamic service composition,heuristic,1
179,ontology alignment,includes,ontology evolution,openie,3
180,ontology alignment,includes,semantic similarity measures,openie,4
181,resource description framework (rdf),supports,display,heuristic,4
182,intelligent software agent,includes,semantic web services,openie,1
183,semantic similarity measures,includes,ontology alignment,openie,1
184,relational data models,includes,web ontology language,openie,1
185,semantic search engines,includes,domain knowledge,openie,1
186,natural language interfaces,selects,semantic description,heuristic,1
187,ontology alignment,acquires,posterior probability,heuristic,1
188,web ontology language,includes,semantic web technologies,openie,44
189,ontology alignment,conjunction,ontology merging,heuristic,2
190,web ontology language,represents,undirected graph,heuristic,1
191,link prediction,includes,semantic search engines,openie,1
192,linked data,is,keyword search,heuristic,1
193,semantic description,supports,software agents,heuristic,1
194,ontology alignment,conjunction,ontology construction,heuristic,2
195,semantic web technologies,combines,web ontology language,heuristic,102
196,sparql,includes,semantic search engines,openie,3
197,web ontology language,includes,search engines,openie,1
198,web ontology language,provides,computability,heuristic,2
199,web ontology language,converts,xml schemas,heuristic,12
200,semantic web services,includes,semantic web service discovery,openie,4
201,ontology alignment,selects,learning,heuristic,6
202,semantic web services,includes,knowledge engineering,openie,2
203,rule engine,conjunction,resource description framework (rdf),heuristic,1
204,semantic web services,is,engineering,heuristic,1
205,ontology alignment,represents,information integration,heuristic,4
206,semantic search engine,includes,relation extraction,openie,1
207,web ontology language,produces,domain knowledge,heuristic,12
208,communication protocols,produces,web ontology language,heuristic,3
209,architecture viewpoints,uses,ontology alignment,heuristic,1
210,data integration,is,web ontology language,heuristic,2
211,semantic description,uses,ontology-based,heuristic,22
212,grid services,publishes,web ontology language,heuristic,1
213,resource description framework (rdf),includes,content management,openie,1
214,ontology alignment,conjunction,clustering algorithms,heuristic,3
215,semantic web services,automates,web services discovery,openie,1
216,trust management,includes,semantic web services,openie,1
217,resource description framework (rdf),represents,knowledge management systems,heuristic,2
218,semantic description,acquires,database systems,heuristic,3
219,semantic search engine,includes,biomedical imaging,openie,1
220,linked data,uses,personalizations,heuristic,1
221,semantic web services,base,description logics,heuristic,8
222,electrical discharge machining,provides,linked data,heuristic,1
223,xpath,conjunction,resource description framework (rdf),heuristic,1
224,social networks,provides,linked data,heuristic,7
225,semantic description,improves,image retrieval,heuristic,1
226,semantic relationships,provides,semantic description,heuristic,1
227,ontology-based,includes,resource description framework (rdf),openie,7
228,web ontology language,includes,semantic web technologies,openie,5
229,semantic search engines,includes,reasoning algorithms,openie,1
