#num-in-GS;#num-in-dataset;#subverbs;opposite;predicate;predicate-simplified;v0;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13
113;40908;2;conjunction;conjunction;conjunction;conjunction;RELATE;;;;;;;;;;;;
132;32300;9;used-for;uses;uses;use;utilise;employ;utilize;exploit;integrate;adopt;leverage;apply;involve;rely;;;
34;19027;12;produced-by;produces;produces;produce;generate;build;create;design;design;manufacture;establish;develop;implement;deploy;make;construct;realize
80;16014;8;provided-by;provides;provides;provide;distribute;have;offer;exhibit;achieve;yield;deliver;provide;give;add;;;
116;14699;10;supported-by;supports;supports;support;underlie;enable;assist;promote;help;empower;facilitate;aid;foster;facilitate;allow;solve;
36;14128;1;skos:narrower;skos:broader/is/hyponym-of;is;be;hyponym-of;;;;;;;;;;;;
33;13093;10;proposed-by;proposes;proposes;propose;introduce;outline;discus;describe;emphasize;discuss;highlight;present;promise;reveal;;;
37;12883;1;give-base-to (any idea?);based-on;base;base;;;;;;;;;;;;;
8;9201;12;improved-by;improves;improves;improve;evolve;grown;enrich;expand;augment;update;change;raise;increase;enhance;advance;gain;
28;7389;6;included-by;includes;includes;include;represent;contain;comprise;comprise;cover;consider;incorporate;;;;;;
25;6412;9;selected-by;selects;selects;select;extract;find;discover;identify;detect;mine;filter;recognize;;;;;
0;4994;4;represented-by;represents;represents;represent;consist;constitute;correspond;show;model;;;;;;;;
0;4706;9;aquired-by;acquires;acquires;gather;import;acquire;organize;store;collect;retrieve;obtain;attract;get;;;;
14;3806;5;converted-from;converts-to;converts;convert;transform;translate;encode;embed;;;;;;;;;
14;3797;9;extended-by;extends;extends;extend;adapt;personalize;customize;specialize;modify;generalize;tailor;refine;;;;;
24;3691;4;defined-by;defines;defines;define;formulate;formalize;specify;;;;;;;;;;
0;3245;9;analysed-by;analyzes;analyzes;analyze;explore;investigate;measure;calculate;examine;analyse;address;answer;study;;;;
21;3115;1;linked-by;links;links;link;;;;;;;;;;;;;
20;2869;3;required-by;requires;requires;require;need;demand;;;;;;;;;;;
7;2347;3;matched-by;matches;matches;match;align;map;;;;;;;;;;;
2;2005;4;manteined-by;maintains;maintains;maintain;manage;preserve;keep;handle;;;;;;;;;
0;1616;7;interacts-with;interacts-with;interacts;interact;communicate;interlink;communicate;participate;collaborate;connect;;;;;;;
12;1602;1;queried-by;queries;queries;query;;;;;;;;;;;;;
0;1312;1;published-by;publishes;publishes;publish;;;;;;;;;;;;;
4;1189;3;guided-by;guides;guides;guide;direct;lead;;;;;;;;;;;
6;1180;1;automated-by;automates;automates;automate;;;;;;;;;;;;;
13;874;1;evaluated-by;evaluates;evaluates;evaluate;;;;;;;;;;;;;
1;507;1;lacked-from;lacks;lacks;lack;;;;;;;;;;;;;
0;495;4;limited-by;limits;limits;limit;constrain;limit;restrict;reduce;;;;;;;;;
0;472;3;affected-by;affects;affects;affect;manipulate;edit;;;;;;;;;;;
2;447;2;processed-by;processes;processes;process;proces;;;;;;;;;;;;
1;397;1;reused-by;reuses;reuses;reuse;;;;;;;;;;;;;
0;385;1;contributed-by;contributes-to;contributes;contribute;;;;;;;;;;;;;
0;369;2;caused-by;causes;causes;cause;influence;;;;;;;;;;;;
0;330;2;classified-by;classify;classifies;classify;;;;;;;;;;;;;
2;269;2;annotated-by;annotates;annotates;tag;label;;;;;;;;;;;;
3;267;1;recommended-by;recommends;recommends;recommend;;;;;;;;;;;;;
0;260;1;visualized-by;visualizes;visualizes;visualize;;;;;;;;;;;;;
0;184;2;predicted-by;predicts;predicts;predict;forecast;derive;;;;;;;;;;;
0;97;1;standardized-by;standardizes;standardizes;standardize;;;;;;;;;;;;;
0;0;1;learned-by;learns;learns;learn;;;;;;;;;;;;;
;;;combined-by;combines;combines;merge;combine;;;;;;;;;;;;
;;;executed-by;executes;executes;perform;execute;compute;;;;;;;;;;;
