;s;p;o;source;support;pipeline;Danilo;FRA;Diego;Davide;Angelo;;Danilo-Fra;Danilo-Diego;;;;
0;access control mechanism;uses;linked data;['openie'];[1];yes;y;;y;;;;0;1;;;;
1;access control mechanism;uses;web ontology language;['luanyi', 'heuristic'];[2, 2];yes;y;y;y;;;;1;1;;;Danilo-Francesco:;0,444987775
2;activity recognition;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y;y;;;;1;1;;;Danilo-Diego:;
3;activity recognition;uses;web ontology language;['heuristic'];[1];yes;y;y;y;;;;1;1;;;;
4;affective computing;uses;semantic descriptions;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
5;agent technology;uses;semantic descriptions;['luanyi'];[1];yes;y;;n;;;;0;0;;;;
609;agent technology;uses;semantic web services;['heuristic'];[7.0];no;y;y;y;;;;1;1;;;;
6;anomaly detection;uses;ontology alignment;['luanyi'];[1];yes;y;n;y;;;;0;1;;;;
7;answering queries;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
8;answering queries;uses;ontology alignment;['luanyi'];[3];yes;y;y;n;;;;1;0;;;;
9;architectural models;uses;semantic web services;['luanyi'];[1];yes;y;;n;;;;0;0;;;;
10;artificial intelligence;skos:broader/is/hyponym-of;linked data;['luanyi'];[2];yes;n;;n;;;;0;1;;;;
610;artificial intelligence;produces;semantic descriptions;['heuristic'];[3.0];no;y;;n;;;;0;0;;;;
611;automated reasoning;converts-to;linked data;['heuristic'];[3.0];no;y;;n;;;;0;0;;;;
11;automated reasoning;uses;semantic web services;['luanyi'];[1];yes;y;y;n;;;;1;0;;;;
12;automated systems;uses;ontology alignment;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
612;automatic composition;based-on;semantic web services;['heuristic'];[8.0];no;y;;y;;;;0;1;;;;
13;automatic composition;uses;semantic web services;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
14;automatic image annotation;supports;semantic search engines;['openie'];[1];yes;y;y;n;;;;1;0;;;;
15;automatic translation;uses;web ontology language;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
613;automation;recommends;semantic web services;['heuristic'];[8.0];no;n;;n;;;;0;1;;;;
16;background knowledge;uses;linked data;['luanyi', 'heuristic'];[3, 4];yes;n;n;y;;;;1;0;;;;
614;bibliographic data;improves;linked data;['heuristic'];[5.0];no;y;;n;;;;0;0;;;;
17;bibliographic data;uses;linked data;['luanyi'];[5];yes;y;y;y;;;;1;1;;;;
615;big data;predicts;linked data;['heuristic'];[5.0];no;n;;n;;;;0;1;;;;
616;blogospheres;uses;linked data;['heuristic'];[3.0];no;y;y;y;;;;1;1;;;;
617;broker pattern;converts-to;semantic web services;['heuristic'];[5.0];no;n;;n;;;;0;1;;;;
618;building model;improves;web ontology language;['heuristic'];[4.0];no;n;n;n;;;;1;1;;;;
18;business logic;uses;semantic web services;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
19;business processes;uses;semantic web services;['luanyi', 'heuristic'];[2, 4];yes;y;y;y;;;;1;1;;;;
20;cache;uses;semantic descriptions;['heuristic'];[1];yes;y;;y;;;;0;1;;;;
619;cim;represents;web ontology language;['heuristic'];[5.0];no;n;;y;;;;0;0;;;;
620;cloud computing;analyzes;semantic search engines;['heuristic'];[4.0];no;n;y;n;;;;0;1;;;;
21;cloud services;uses;semantic descriptions;['luanyi'];[1];yes;y;;n;;;;0;0;;;;
22;collaborative designs;uses;web ontology language;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
23;commerce;requires;ontology alignment;['openie'];[1];yes;n;n;n;;;;1;1;;;;
621;communication;supports;linked data;['heuristic'];[4.0];no;n;;n;;;;0;1;;;;
622;communication;combines;resource description framework (rdf);['heuristic'];[6.0];no;y;;n;;;;0;0;;;;
623;communication;produces;semantic web services;['heuristic'];[5.0];no;n;;n;;;;0;1;;;;
624;communication;provides;web ontology language;['heuristic'];[3.0];no;n;n;n;;;;1;1;;;;
625;communication protocols;produces;web ontology language;['heuristic'];[3.0];no;n;n;n;;;;1;1;;;;
626;component-based software engineering;publishes;linked data;['heuristic'];[4.0];no;y;;y;;;;0;1;;;;
24;component-based software engineering;skos:broader/is/hyponym-of;ontology alignment;['openie'];[1];yes;n;;n;;;;0;1;;;;
627;component-based software engineering;acquires;semantic descriptions;['heuristic'];[7.0];no;y;;y;;;;0;1;;;;
628;component-based software engineering;produces;semantic search engines;['heuristic'];[3.0];no;y;;n;;;;0;0;;;;
25;component-based software engineering;proposes;web ontology language;['heuristic'];[12];yes;y;;n;;;;0;0;;;;
26;computer science;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
629;computer systems;includes;linked data;['heuristic'];[4.0];no;y;n;y;;;;0;1;;;;
27;computer vision;uses;semantic descriptions;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
28;concept similarity;uses;ontology alignment;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
