;s;p;o;FRA
0;access control mechanism;uses;linked data;
1;access control mechanism;uses;web ontology language;y
2;activity recognition;uses;resource description framework (rdf);y
3;activity recognition;uses;web ontology language;y
4;affective computing;uses;semantic descriptions;
5;agent technology;uses;semantic descriptions;
609;agent technology;uses;semantic web services;y
6;anomaly detection;uses;ontology alignment;n
7;answering queries;uses;linked data;y
8;answering queries;uses;ontology alignment;y
9;architectural models;uses;semantic web services;
10;artificial intelligence;skos:broader/is/hyponym-of;linked data;
610;artificial intelligence;produces;semantic descriptions;
611;automated reasoning;converts-to;linked data;
11;automated reasoning;uses;semantic web services;y
12;automated systems;uses;ontology alignment;y
612;automatic composition;based-on;semantic web services;
13;automatic composition;uses;semantic web services;y
14;automatic image annotation;supports;semantic search engines;y
15;automatic translation;uses;web ontology language;y
613;automation;recommends;semantic web services;
16;background knowledge;uses;linked data;n
614;bibliographic data;improves;linked data;
17;bibliographic data;uses;linked data;y
615;big data;predicts;linked data;
616;blogospheres;uses;linked data;y
617;broker pattern;converts-to;semantic web services;
618;building model;improves;web ontology language;n
18;business logic;uses;semantic web services;y
19;business processes;uses;semantic web services;y
20;cache;uses;semantic descriptions;
619;cim;represents;web ontology language;
620;cloud computing;analyzes;semantic search engines;y
21;cloud services;uses;semantic descriptions;
22;collaborative designs;uses;web ontology language;y
23;commerce;requires;ontology alignment;n
621;communication;supports;linked data;
622;communication;combines;resource description framework (rdf);
623;communication;produces;semantic web services;
624;communication;provides;web ontology language;n
625;communication protocols;produces;web ontology language;n
626;component-based software engineering;publishes;linked data;
24;component-based software engineering;skos:broader/is/hyponym-of;ontology alignment;
627;component-based software engineering;acquires;semantic descriptions;
628;component-based software engineering;produces;semantic search engines;
25;component-based software engineering;proposes;web ontology language;
26;computer science;uses;linked data;y
629;computer systems;includes;linked data;n
27;computer vision;uses;semantic descriptions;
28;concept similarity;uses;ontology alignment;y
29;constraint language;uses;resource description framework (rdf);y
630;context models;proposes;web ontology language;n
30;controlled vocabulary;uses;web ontology language;y
631;data exchange;provides;resource description framework (rdf);n
32;data exchange;uses;resource description framework (rdf);n
632;data exchange;queries;web ontology language;n
33;data integration;uses;linked data;y
34;data integration;uses;ontology alignment;y
633;data integration;provides;resource description framework (rdf);y
35;data integration;uses;semantic web services;y
36;data integration;uses;web ontology language;y
37;data publishing;uses;linked data;y
38;data publishing;uses;resource description framework (rdf);y
39;data sparsity;uses;linked data;n
634;database systems;includes;resource description framework (rdf);y
40;database systems;includes;semantic descriptions;
41;dbpedia;publishes;linked data;
42;dbpedia;skos:broader/is/hyponym-of;linked data;
43;dbpedia;uses;ontology alignment;
635;dbpedia;produces;resource description framework (rdf);
44;deontic logic;skos:broader/is/hyponym-of;web ontology language;
636;description logics;proposes;semantic web services;
46;digital contents;uses;linked data;y
47;digital libraries;uses;linked data;y
48;digital libraries;uses;semantic web services;y
637;distributed architectures;based-on;semantic web services;
49;distributed query processing;uses;linked data;y
50;document clustering;uses;semantic search engines;y
51;domain knowledge;uses;semantic descriptions;
52;domain knowledge;uses;semantic search engines;y
53;domain knowledge;uses;semantic web services;y
638;domain knowledge;converts-to;web ontology language;
54;domain knowledge;uses;web ontology language;y
639;domain-specific ontologies;supports;linked data;y
55;domain-specific ontologies;uses;ontology alignment;y
56;domain-specific ontologies;uses;resource description framework (rdf);y
640;domain-specific ontologies;includes;semantic descriptions;
641;domain-specific ontologies;executes;semantic search engines;
57;domain-specific ontologies;uses;web ontology language;y
58;electronic commerce;requires;ontology alignment;n
59;electronic commerce;uses;ontology alignment;y
60;enterprise architecture;uses;resource description framework (rdf);y
61;equivalence relations;uses;ontology alignment;
62;facebook;skos:broader/is/hyponym-of;semantic search engines;
63;fca;uses;ontology alignment;
64;formal models;uses;semantic web services;n
642;fuzzy description logic;extends;web ontology language;y
643;fuzzy logics;maintains;semantic descriptions;
65;fuzzy ontology;uses;semantic search engines;
66;geo-spatial data;uses;semantic descriptions;
67;geographic information system;uses;linked data;y
644;graphical models;learns;semantic descriptions;
68;grid computing;skos:broader/is/hyponym-of;semantic web services;
69;grid services;uses;semantic descriptions;
70;grid services;uses;web ontology language;y
645;heterogeneous databases;includes;semantic search engines;y
646;http;extends;resource description framework (rdf);
71;hypervisor;skos:broader/is/hyponym-of;linked data;
72;image retrieval;uses;ontology alignment;y
73;inference;executes;resource description framework (rdf);
74;inference;uses;resource description framework (rdf);y
75;inference;skos:broader/is/hyponym-of;semantic search engines;
76;inference;uses;web ontology language;y
77;information acquisitions;uses;semantic search engines;y
78;information extraction;uses;linked data;y
79;information filtering;uses;semantic descriptions;
80;information fusion;uses;linked data;y
81;information integration;uses;ontology alignment;y
82;information needs;uses;linked data;n
83;information retrieval;uses;linked data;y
84;information retrieval;uses;ontology alignment;y
85;information retrieval;uses;resource description framework (rdf);y
86;information retrieval;uses;semantic search engines;y
87;information retrieval;skos:broader/is/hyponym-of;semantic web services;
88;information sharing;skos:broader/is/hyponym-of;resource description framework (rdf);
89;information systems;uses;linked data;y
647;information systems;matches;ontology alignment;n
90;intelligent agents;uses;semantic web services;y
91;intelligent tutoring systems;uses;web ontology language;y
92;investments;uses;linked data;y
93;it infrastructures;uses;semantic search engines;
94;keyword search;uses;linked data;y
95;knowledge acquisition;uses;linked data;
96;knowledge bases;uses;linked data;y
648;knowledge bases;represents;resource description framework (rdf);
649;knowledge bases;uses;semantic search engines;
97;knowledge bases;uses;web ontology language;y
98;knowledge discovery;uses;linked data;y
99;knowledge discovery;uses;resource description framework (rdf);y
100;knowledge engineering;uses;linked data;y
101;knowledge exchange;uses;ontology alignment;y
102;knowledge exchange;uses;resource description framework (rdf);y
103;knowledge management;skos:broader/is/hyponym-of;semantic web services;
104;knowledge management;uses;web ontology language;y
