;s;p;o;annotation(y or n)
0;access control mechanism;uses;linked data;
1;access control mechanism;uses;web ontology language;
2;activity recognition;uses;resource description framework (rdf);
3;activity recognition;uses;web ontology language;
4;affective computing;uses;semantic descriptions;
5;agent technology;uses;semantic descriptions;
609;agent technology;uses;semantic web services;
6;anomaly detection;uses;ontology alignment;
7;answering queries;uses;linked data;
8;answering queries;uses;ontology alignment;
9;architectural models;uses;semantic web services;
10;artificial intelligence;skos:broader/is/hyponym-of;linked data;
610;artificial intelligence;produces;semantic descriptions;
611;automated reasoning;converts-to;linked data;
11;automated reasoning;uses;semantic web services;
12;automated systems;uses;ontology alignment;
612;automatic composition;based-on;semantic web services;
13;automatic composition;uses;semantic web services;
14;automatic image annotation;supports;semantic search engines;
15;automatic translation;uses;web ontology language;
613;automation;recommends;semantic web services;
16;background knowledge;uses;linked data;
614;bibliographic data;improves;linked data;
17;bibliographic data;uses;linked data;
615;big data;predicts;linked data;
616;blogospheres;uses;linked data;
617;broker pattern;converts-to;semantic web services;
618;building model;improves;web ontology language;
18;business logic;uses;semantic web services;
19;business processes;uses;semantic web services;
20;cache;uses;semantic descriptions;
619;cim;represents;web ontology language;
620;cloud computing;analyzes;semantic search engines;
21;cloud services;uses;semantic descriptions;
22;collaborative designs;uses;web ontology language;
23;commerce;requires;ontology alignment;
621;communication;supports;linked data;
622;communication;combines;resource description framework (rdf);
623;communication;produces;semantic web services;
624;communication;provides;web ontology language;
625;communication protocols;produces;web ontology language;
626;component-based software engineering;publishes;linked data;
24;component-based software engineering;skos:broader/is/hyponym-of;ontology alignment;
627;component-based software engineering;acquires;semantic descriptions;
628;component-based software engineering;produces;semantic search engines;
25;component-based software engineering;proposes;web ontology language;
26;computer science;uses;linked data;
629;computer systems;includes;linked data;
27;computer vision;uses;semantic descriptions;
28;concept similarity;uses;ontology alignment;
29;constraint language;uses;resource description framework (rdf);
630;context models;proposes;web ontology language;
30;controlled vocabulary;uses;web ontology language;
631;data exchange;provides;resource description framework (rdf);
32;data exchange;uses;resource description framework (rdf);
632;data exchange;queries;web ontology language;
33;data integration;uses;linked data;
34;data integration;uses;ontology alignment;
633;data integration;provides;resource description framework (rdf);
35;data integration;uses;semantic web services;
36;data integration;uses;web ontology language;
37;data publishing;uses;linked data;
38;data publishing;uses;resource description framework (rdf);
39;data sparsity;uses;linked data;
634;database systems;includes;resource description framework (rdf);
40;database systems;includes;semantic descriptions;
41;dbpedia;publishes;linked data;
42;dbpedia;skos:broader/is/hyponym-of;linked data;
43;dbpedia;uses;ontology alignment;
635;dbpedia;produces;resource description framework (rdf);
44;deontic logic;skos:broader/is/hyponym-of;web ontology language;
636;description logics;proposes;semantic web services;
46;digital contents;uses;linked data;
47;digital libraries;uses;linked data;
48;digital libraries;uses;semantic web services;
637;distributed architectures;based-on;semantic web services;
49;distributed query processing;uses;linked data;
50;document clustering;uses;semantic search engines;
51;domain knowledge;uses;semantic descriptions;
52;domain knowledge;uses;semantic search engines;
53;domain knowledge;uses;semantic web services;
638;domain knowledge;converts-to;web ontology language;
54;domain knowledge;uses;web ontology language;
639;domain-specific ontologies;supports;linked data;
55;domain-specific ontologies;uses;ontology alignment;
56;domain-specific ontologies;uses;resource description framework (rdf);
640;domain-specific ontologies;includes;semantic descriptions;
641;domain-specific ontologies;executes;semantic search engines;
57;domain-specific ontologies;uses;web ontology language;
58;electronic commerce;requires;ontology alignment;
59;electronic commerce;uses;ontology alignment;
60;enterprise architecture;uses;resource description framework (rdf);
61;equivalence relations;uses;ontology alignment;
62;facebook;skos:broader/is/hyponym-of;semantic search engines;
63;fca;uses;ontology alignment;
64;formal models;uses;semantic web services;
642;fuzzy description logic;extends;web ontology language;
643;fuzzy logics;maintains;semantic descriptions;
65;fuzzy ontology;uses;semantic search engines;
66;geo-spatial data;uses;semantic descriptions;
67;geographic information system;uses;linked data;
644;graphical models;learns;semantic descriptions;
68;grid computing;skos:broader/is/hyponym-of;semantic web services;
69;grid services;uses;semantic descriptions;
70;grid services;uses;web ontology language;
645;heterogeneous databases;includes;semantic search engines;
646;http;extends;resource description framework (rdf);
71;hypervisor;skos:broader/is/hyponym-of;linked data;
72;image retrieval;uses;ontology alignment;
73;inference;executes;resource description framework (rdf);
74;inference;uses;resource description framework (rdf);
75;inference;skos:broader/is/hyponym-of;semantic search engines;
76;inference;uses;web ontology language;
77;information acquisitions;uses;semantic search engines;
78;information extraction;uses;linked data;
79;information filtering;uses;semantic descriptions;
80;information fusion;uses;linked data;
81;information integration;uses;ontology alignment;
82;information needs;uses;linked data;
83;information retrieval;uses;linked data;
84;information retrieval;uses;ontology alignment;
85;information retrieval;uses;resource description framework (rdf);
86;information retrieval;uses;semantic search engines;
87;information retrieval;skos:broader/is/hyponym-of;semantic web services;
