;s;p;o;source;support;pipeline;Danilo;FRA
0;access control mechanism;uses;linked data;['openie'];[1];yes;;
1;access control mechanism;uses;web ontology language;['luanyi', 'heuristic'];[2, 2];yes;y;y
2;activity recognition;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y
3;activity recognition;uses;web ontology language;['heuristic'];[1];yes;y;y
4;affective computing;uses;semantic descriptions;['luanyi'];[1];yes;;
5;agent technology;uses;semantic descriptions;['luanyi'];[1];yes;;
6;anomaly detection;uses;ontology alignment;['luanyi'];[1];yes;y;n
7;answering queries;uses;linked data;['luanyi'];[1];yes;y;y
8;answering queries;uses;ontology alignment;['luanyi'];[3];yes;y;y
9;architectural models;uses;semantic web services;['luanyi'];[1];yes;;
10;artificial intelligence;skos:broader/is/hyponym-of;linked data;['luanyi'];[2];yes;;
11;automated reasoning;uses;semantic web services;['luanyi'];[1];yes;y;y
12;automated systems;uses;ontology alignment;['luanyi'];[1];yes;y;y
13;automatic composition;uses;semantic web services;['luanyi'];[1];yes;y;y
14;automatic image annotation;supports;semantic search engines;['openie'];[1];yes;y;y
15;automatic translation;uses;web ontology language;['luanyi'];[2];yes;y;y
16;automation;skos:broader/is/hyponym-of;semantic descriptions;['heuristic'];[2];yes;;
17;background knowledge;uses;linked data;['luanyi', 'heuristic'];[3, 4];yes;n;n
18;bibliographic data;uses;linked data;['luanyi'];[5];yes;y;y
19;business logic;uses;semantic web services;['luanyi'];[1];yes;y;y
20;business processes;uses;semantic web services;['luanyi', 'heuristic'];[2, 4];yes;y;y
21;cache;uses;semantic descriptions;['heuristic'];[1];yes;;
22;cloud services;uses;semantic descriptions;['luanyi'];[1];yes;;
23;collaborative designs;uses;web ontology language;['luanyi'];[1];yes;y;y
24;commerce;requires;ontology alignment;['openie'];[1];yes;n;n
25;component-based software engineering;skos:broader/is/hyponym-of;ontology alignment;['openie'];[1];yes;;
26;computer science;uses;linked data;['luanyi'];[1];yes;y;y
27;computer vision;uses;semantic descriptions;['luanyi'];[1];yes;;
28;concept similarity;uses;ontology alignment;['luanyi'];[1];yes;y;y
29;constraint language;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y
30;crm;uses;ontology alignment;['luanyi'];[1];yes;;
31;data exchange;uses;resource description framework (rdf);['luanyi'];[4];yes;y;n
32;data integration;uses;linked data;['luanyi'];[2];yes;y;y
33;data integration;uses;ontology alignment;['luanyi'];[4];yes;y;y
34;data integration;uses;semantic web services;['luanyi'];[1];yes;y;y
35;data integration;uses;web ontology language;['luanyi'];[2];yes;y;y
36;data publishing;uses;linked data;['luanyi'];[1];yes;y;y
37;data publishing;uses;resource description framework (rdf);['openie', 'heuristic'];[1, 1];yes;y;y
38;data sparsity;uses;linked data;['luanyi'];[1];yes;n;n
39;database systems;includes;semantic descriptions;['luanyi', 'heuristic'];[2, 5];yes;;
40;dbpedia;skos:broader/is/hyponym-of;linked data;['luanyi'];[4];yes;;
41;deontic logic;skos:broader/is/hyponym-of;web ontology language;['luanyi'];[1];yes;;
42;descriptors;includes;semantic descriptions;['heuristic'];[2];yes;;
43;dht;includes;semantic web services;['luanyi'];[1];yes;;
44;digital contents;uses;linked data;['luanyi'];[1];yes;y;y
45;digital libraries;uses;linked data;['luanyi'];[1];yes;y;y
46;digital libraries;uses;semantic web services;['luanyi'];[2];yes;y;y
47;distributed query processing;uses;linked data;['luanyi'];[1];yes;y;y
48;document clustering;uses;semantic search engines;['luanyi'];[1];yes;y;y
49;domain knowledge;uses;semantic descriptions;['luanyi'];[1];yes;;
50;domain knowledge;uses;semantic search engines;['luanyi'];[1];yes;y;y
51;domain knowledge;uses;semantic web services;['luanyi'];[1];yes;y;y
52;domain knowledge;uses;web ontology language;['luanyi'];[5];yes;n;y
53;domain-specific ontologies;uses;ontology alignment;['luanyi'];[2];yes;y;y
54;domain-specific ontologies;uses;resource description framework (rdf);['heuristic'];[2];yes;y;y
55;domain-specific ontologies;uses;web ontology language;['openie', 'luanyi', 'heuristic'];[1, 5, 6];yes;y;y
56;electronic commerce;requires;ontology alignment;['openie'];[1];yes;y;n
57;electronic commerce;uses;ontology alignment;['luanyi'];[1];yes;n;y
58;enterprise architecture;uses;resource description framework (rdf);['luanyi', 'openie', 'heuristic'];[1, 1, 1];yes;y;y
59;equivalence relations;uses;ontology alignment;['luanyi'];[1];yes;;
60;facebook;skos:broader/is/hyponym-of;semantic search engines;['luanyi'];[1];yes;;
61;fca;uses;ontology alignment;['heuristic'];[1];yes;;
62;formal models;uses;semantic web services;['heuristic'];[6];yes;y;n
63;fuzzy ontology;uses;semantic search engines;['luanyi'];[1];yes;;
64;geo-spatial data;uses;semantic descriptions;['luanyi'];[2];yes;;
65;geographic information system;uses;linked data;['luanyi'];[1];yes;y;y
66;grid computing;skos:broader/is/hyponym-of;semantic web services;['luanyi'];[1];yes;;
67;grid services;uses;semantic descriptions;['luanyi'];[1];yes;;
68;grid services;uses;web ontology language;['luanyi'];[2];yes;y;y
69;hypervisor;skos:broader/is/hyponym-of;linked data;['luanyi'];[1];yes;;
70;image retrieval;uses;ontology alignment;['luanyi'];[1];yes;y;y
71;inference;uses;resource description framework (rdf);['luanyi'];[2];yes;y;y
72;inference;skos:broader/is/hyponym-of;semantic search engines;['luanyi'];[3];yes;;
73;inference;uses;web ontology language;['openie'];[1];yes;y;y
74;information acquisitions;uses;semantic search engines;['luanyi'];[1];yes;y;y
75;information extraction;uses;linked data;['luanyi'];[1];yes;y;y
76;information filtering;uses;semantic descriptions;['luanyi'];[1];yes;;
77;information fusion;uses;linked data;['luanyi'];[1];yes;y;y
78;information integration;uses;ontology alignment;['luanyi'];[4];yes;y;y
79;information needs;uses;linked data;['luanyi'];[1];yes;n;n
80;information retrieval;uses;linked data;['luanyi'];[1];yes;y;y
81;information retrieval;uses;ontology alignment;['luanyi'];[9];yes;n;y
82;information retrieval;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y
83;information retrieval;uses;semantic search engines;['luanyi', 'heuristic'];[3, 19];yes;y;y
84;information retrieval;skos:broader/is/hyponym-of;semantic web services;['luanyi'];[2];yes;;
85;information sharing;skos:broader/is/hyponym-of;resource description framework (rdf);['luanyi'];[1];yes;;
86;information systems;uses;linked data;['luanyi', 'heuristic'];[1, 4];yes;y;y
87;intelligent agents;uses;semantic web services;['luanyi'];[2];yes;y;y
88;intelligent tutoring systems;uses;web ontology language;['luanyi', 'heuristic'];[1, 1];yes;y;y
89;investments;uses;linked data;['heuristic'];[1];yes;n;y
90;it infrastructures;uses;semantic search engines;['luanyi'];[1];yes;;
91;keyword search;uses;linked data;['luanyi'];[2];yes;n;y
92;knowledge acquisition;uses;linked data;['heuristic'];[1];yes;;
93;knowledge bases;uses;linked data;['luanyi'];[1];yes;y;y
94;knowledge bases;uses;semantic search engines;['heuristic'];[9];yes;;
95;knowledge bases;uses;web ontology language;['luanyi', 'openie', 'heuristic'];[2, 1, 7];yes;y;y
96;knowledge discovery;uses;linked data;['luanyi'];[3];yes;y;y
97;knowledge discovery;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y
98;knowledge engineering;uses;linked data;['luanyi'];[2];yes;y;y
99;knowledge exchange;uses;ontology alignment;['luanyi'];[1];yes;y;y
100;knowledge exchange;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y
101;knowledge management;skos:broader/is/hyponym-of;semantic web services;['luanyi'];[2];yes;;
102;knowledge management;uses;web ontology language;['heuristic'];[1];yes;y;y
103;knowledge management systems;uses;linked data;['luanyi'];[1];yes;y;y
104;knowledge management systems;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y
105;knowledge representation;uses;resource description framework (rdf);['luanyi'];[5];yes;y;y
106;knowledge representation;uses;web ontology language;['openie', 'luanyi'];[1, 4];yes;y;y
107;knowledge representation and reasoning;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y
108;knowledge-sharing;uses;ontology alignment;['luanyi', 'heuristic'];[3, 4];yes;y;y
109;language acquisition;uses;linked data;['heuristic'];[1];yes;n;y
110;learning;uses;linked data;['heuristic'];[1];yes;;
111;learning objects;uses;semantic search engines;['luanyi'];[1];yes;y;y
112;learning organizations;includes;semantic search engines;['luanyi'];[1];yes;;
113;legacy systems;uses;semantic descriptions;['luanyi'];[1];yes;;
114;libraries;produces;linked data;['heuristic'];[32];yes;;
115;libraries;uses;linked data;['luanyi'];[1];yes;n;y
116;libraries;uses;resource description framework (rdf);['openie'];[2];yes;n;y
117;linked data;provides;background knowledge;['openie', 'heuristic'];[1, 2];yes;y;y
118;linked data;improves;bibliographic data;['openie'];[3];yes;y;y
119;linked data;skos:broader/is/hyponym-of;component-based software engineering;['openie'];[1];yes;;
120;linked data;uses;concept lattices;['luanyi'];[1];yes;n;y
121;linked data;provides;data integration;['openie', 'heuristic'];[1, 7];yes;y;y
122;linked data;supports;dialogue;['openie'];[1];yes;y;y
123;linked data;includes;digital libraries;['luanyi'];[2];yes;y;y
124;linked data;uses;domain-specific ontologies;['heuristic'];[1];yes;;
125;linked data;uses;facebook;['heuristic'];[1];yes;;
126;linked data;supports;inference;['heuristic'];[1];yes;;
127;linked data;supports;information needs;['heuristic'];[1];yes;n;y
128;linked data;uses;knowledge representation;['heuristic'];[1];yes;;
129;linked data;provides;libraries;['heuristic'];[23];yes;n;y
130;linked data;uses;mobile devices;['luanyi'];[2];yes;n;y
131;linked data;uses;natural languages;['openie', 'luanyi', 'heuristic'];[1, 1, 7];yes;y;y
132;linked data;uses;on-line analytical processing;['luanyi'];[1];yes;;
133;linked data;supports;ontologies;['openie'];[2];yes;y;y
134;linked data;supports;parsing algorithm;['openie'];[1];yes;y;y
135;linked data;uses;question answering systems;['luanyi'];[1];yes;n;y
136;linked data;uses;recommender systems;['heuristic'];[5];yes;n;n
137;linked data;uses;relational database systems;['luanyi'];[1];yes;n;y
138;linked data;uses;resource description framework (rdf);['openie'];[2];yes;y;y
139;linked data;uses;rule engine;['luanyi'];[1];yes;n;y
140;linked data;provides;semantic interoperability;['openie', 'heuristic'];[2, 4];yes;y;y
141;linked data;uses;semantic web applications;['openie'];[3];yes;;
142;linked data;includes;social sciences;['luanyi'];[1];yes;y;n
143;linked data;uses;software design patterns;['luanyi', 'heuristic'];[1, 1];yes;y;y
144;linked data;provides;sparql;['openie'];[1];yes;n;y
145;linked data;uses;sparql;['luanyi', 'heuristic'];[5, 7];yes;n;y
146;linked data;improves;user experience;['heuristic'];[3];yes;n;y
147;linked data;supports;validation;['heuristic'];[1];yes;;
148;linked data;supports;visualization;['heuristic'];[1];yes;n;y
149;linked data;improves;web contents;['openie', 'heuristic'];[1, 3];yes;y;y
150;linked data;supports;web of data;['heuristic'];[30];yes;;
151;linked data;produces;world wide web;['openie'];[1];yes;n;y
152;linked data;skos:broader/is/hyponym-of;world wide web;['luanyi'];[1];yes;;
153;linked open data;supports;semantic search engines;['openie'];[2];yes;y;y
154;logic programming;skos:broader/is/hyponym-of;web ontology language;['luanyi'];[1];yes;;
155;manets;includes;semantic descriptions;['luanyi'];[2];yes;;
156;mashup;selects;semantic web services;['openie'];[1];yes;y;y
157;mass customization;uses;semantic descriptions;['luanyi'];[1];yes;;
158;mobile applications;uses;semantic descriptions;['heuristic'];[1];yes;;
159;mobile devices;uses;linked data;['heuristic'];[1];yes;;
160;mobile services;uses;linked data;['luanyi'];[1];yes;y;y
161;model transformations;uses;ontology alignment;['luanyi'];[1];yes;y;y
162;modeling languages;uses;ontology alignment;['heuristic'];[2];yes;;
163;modeling languages;uses;web ontology language;['luanyi'];[5];yes;y;n
164;multimedia contents;uses;web ontology language;['heuristic'];[1];yes;y;y
165;named entity recognition;skos:broader/is/hyponym-of;resource description framework (rdf);['luanyi'];[1];yes;;
166;natural language interfaces;uses;ontology alignment;['luanyi'];[1];yes;y;y
167;natural language processing systems;uses;web ontology language;['luanyi'];[1];yes;y;y
168;natural language text;uses;web ontology language;['heuristic'];[1];yes;;
169;network management;uses;semantic web services;['heuristic'];[1];yes;y;n
170;ontologies;supports;linked data;['openie'];[1];yes;y;y
171;ontologies;proposes;ontology alignment;['openie'];[1];yes;n;y
172;ontologies;uses;resource description framework (rdf);['openie'];[2];yes;y;y
173;ontologies;produces;semantic descriptions;['openie'];[1];yes;;
174;ontologies;provides;semantic descriptions;['heuristic'];[36];yes;;
175;ontologies;executes;semantic search engines;['openie'];[2];yes;n;n
176;ontologies;provides;semantic search engines;['heuristic'];[45];yes;n;n
177;ontologies;uses;web ontology language;['openie', 'luanyi', 'heuristic'];[20, 33, 298];yes;y;y
178;ontology alignment;uses;answering queries;['heuristic'];[7];yes;y;n
179;ontology alignment;uses;argumentation;['luanyi'];[2];yes;y;y
180;ontology alignment;uses;automated reasoning;['luanyi'];[1];yes;y;y
181;ontology alignment;uses;background knowledge;['luanyi'];[1];yes;y;y
182;ontology alignment;uses;bayesian networks;['luanyi', 'heuristic'];[1, 1];yes;y;y
183;ontology alignment;uses;clone detection;['heuristic'];[1];yes;y;y
184;ontology alignment;produces;communication;['openie'];[1];yes;n;n
185;ontology alignment;skos:broader/is/hyponym-of;computer science;['luanyi'];[1];yes;;
186;ontology alignment;uses;controlled natural language;['luanyi'];[1];yes;y;y
187;ontology alignment;uses;decision tables;['heuristic'];[1];yes;y;y
188;ontology alignment;uses;distributed environments;['luanyi'];[1];yes;y;y
189;ontology alignment;uses;domain-specific ontologies;['luanyi', 'heuristic'];[2, 5];yes;y;y
190;ontology alignment;uses;electronic commerce;['luanyi'];[2];yes;n;n
191;ontology alignment;uses;evolutionary approach;['luanyi'];[1];yes;;
192;ontology alignment;uses;fca;['heuristic'];[2];yes;;
