;s;p;o;source;support;pipeline
880;access control;uses;resource description framework (rdf);['heuristic'];[1];yes
776;access control;uses;web ontology language;['heuristic'];[12];yes
645;access control mechanism;uses;web ontology language;['luanyi', 'heuristic'];[1, 1];yes
918;activity recognition;uses;resource description framework (rdf);['heuristic'];[1];yes
888;activity recognition;uses;web ontology language;['heuristic'];[1];yes
337;affective computing;uses;semantic description;['luanyi'];[1];yes
83;agent technology;uses;semantic description;['luanyi'];[1];yes
975;agent technology;uses;semantic web services;['heuristic'];[7.0];no
68;anomaly detection;uses;ontology alignment;['luanyi'];[1];yes
271;answering queries;uses;linked data;['luanyi'];[1];yes
125;answering queries;uses;ontology alignment;['luanyi', 'luanyi'];[1, 2];yes
1175;architecture reconstruction;proposes;semantic description;['heuristic'];[4.0];no
1310;argumentation;combines;ontology alignment;['heuristic'];[3.0];no
495;artificial intelligence;is;linked data;['luanyi'];[2];yes
1083;artificial intelligence;produces;semantic description;['heuristic'];[5.0];no
1311;audio;includes;semantic description;['heuristic'];[3.0];no
1312;augmented reality;links;linked data;['heuristic'];[3.0];no
976;authentication;links;linked data;['heuristic'];[7.0];no
1313;authorization;base;semantic web services;['heuristic'];[3.0];no
912;authorization;uses;web ontology language;['heuristic'];[4];yes
1314;automated reasoning;converts;linked data;['heuristic'];[3.0];no
365;automated reasoning;uses;semantic web services;['luanyi'];[1];yes
569;automated systems;uses;ontology alignment;['luanyi'];[1];yes
498;automatic composition;base;semantic web services;['heuristic'];[14];yes
479;automatic composition;uses;semantic web services;['luanyi'];[1];yes
906;automatic composition;uses;web ontology language;['heuristic'];[1];yes
97;automatic image annotation;supports;semantic search engines;['openie'];[1];yes
204;automatic translation;uses;web ontology language;['luanyi'];[2];yes
548;automation;recommends;semantic web services;['heuristic'];[12];yes
1315;b2b;proposes;linked data;['heuristic'];[3.0];no
848;b2b;uses;semantic web services;['heuristic'];[1];yes
113;background knowledge;uses;linked data;['luanyi', 'heuristic'];[3, 4];yes
1176;bayesian approaches;represents;semantic description;['heuristic'];[4.0];no
1316;bayesian classification;classifies;semantic description;['heuristic'];[3.0];no
508;bibliographic data;publishes;linked data;['heuristic'];[15];yes
724;bibliographic data;uses;linked data;['luanyi'];[5];yes
414;big data;predicts;linked data;['heuristic'];[10];yes
199;biometrics;supports;semantic description;['heuristic'];[9];yes
1317;blogospheres;uses;linked data;['heuristic'];[3.0];no
1017;broadcast;base;semantic search engines;['heuristic'];[6.0];no
696;broker pattern;converts;semantic web services;['heuristic'];[9];yes
1177;building model;improves;web ontology language;['heuristic'];[4.0];no
681;business logic;uses;semantic web services;['luanyi'];[1];yes
511;business processes;uses;semantic web services;['luanyi', 'heuristic'];[2, 7];yes
1318;cellular;uses;web ontology language;['heuristic'];[3.0];no
1018;chord;publishes;semantic web services;['heuristic'];[6.0];no
1178;cloud computing;analyzes;semantic search engine;['heuristic'];[4.0];no
