;s;p;o;source;support;pipeline
624;access control;uses;resource description framework (rdf);['heuristic'];[1];yes
761;access control;uses;web ontology language;['heuristic'];[12];yes
577;access control mechanism;uses;web ontology language;['luanyi', 'heuristic'];[1, 1];yes
696;activity recognition;uses;resource description framework (rdf);['heuristic'];[1];yes
725;activity recognition;uses;web ontology language;['heuristic'];[1];yes
395;affective computing;uses;semantic description;['luanyi'];[1];yes
576;agent technology;uses;semantic description;['luanyi'];[1];yes
808;agent technology;uses;semantic web services;['heuristic'];[7.0];no
277;anomaly detection;uses;ontology alignment;['luanyi'];[1];yes
533;answering queries;uses;linked data;['luanyi'];[1];yes
106;answering queries;uses;ontology alignment;['luanyi', 'luanyi'];[1, 2];yes
1001;architecture reconstruction;proposes;semantic description;['heuristic'];[4.0];no
1132;argumentation;combines;ontology alignment;['heuristic'];[3.0];no
102;artificial intelligence;is;linked data;['luanyi'];[2];yes
912;artificial intelligence;produces;semantic description;['heuristic'];[5.0];no
1133;audio;includes;semantic description;['heuristic'];[3.0];no
1134;augmented reality;links;linked data;['heuristic'];[3.0];no
809;authentication;links;linked data;['heuristic'];[7.0];no
1135;authorization;base;semantic web services;['heuristic'];[3.0];no
729;authorization;uses;web ontology language;['heuristic'];[4];yes
1136;automated reasoning;converts;linked data;['heuristic'];[3.0];no
41;automated reasoning;uses;semantic web services;['luanyi'];[1];yes
368;automated systems;uses;ontology alignment;['luanyi'];[1];yes
147;automatic composition;uses;semantic web services;['luanyi'];[1];yes
645;automatic composition;uses;web ontology language;['heuristic'];[1];yes
239;automatic image annotation;supports;semantic search engines;['openie'];[1];yes
590;automatic translation;uses;web ontology language;['luanyi'];[2];yes
1137;b2b;proposes;linked data;['heuristic'];[3.0];no
735;b2b;uses;semantic web services;['heuristic'];[1];yes
414;background knowledge;uses;linked data;['luanyi', 'heuristic'];[3, 4];yes
1002;bayesian approaches;represents;semantic description;['heuristic'];[4.0];no
1138;bayesian classification;classifies;semantic description;['heuristic'];[3.0];no
206;bibliographic data;uses;linked data;['luanyi'];[5];yes
1139;blogospheres;uses;linked data;['heuristic'];[3.0];no
848;broadcast;base;semantic search engines;['heuristic'];[6.0];no
1003;building model;improves;web ontology language;['heuristic'];[4.0];no
1;business logic;uses;semantic web services;['luanyi'];[1];yes
649;business process modelling;uses;web ontology language;['heuristic'];[1];yes
152;business processes;uses;semantic web services;['luanyi', 'heuristic'];[2, 7];yes
730;capp;uses;web ontology language;['heuristic'];[1];yes
666;cellular;uses;web ontology language;['heuristic'];[3];yes
849;chord;publishes;semantic web services;['heuristic'];[6.0];no
1004;cloud computing;analyzes;semantic search engine;['heuristic'];[4.0];no
532;cloud computing;is;semantic search engine;['luanyi'];[1];yes
913;cloud computing;analyzes;semantic search engines;['heuristic'];[5.0];no
512;cloud services;uses;semantic description;['luanyi'];[1];yes
1140;cnc;produces;semantic web services;['heuristic'];[3.0];no
850;collaborative designs;produces;ontology alignment;['heuristic'];[6.0];no
256;collaborative designs;uses;web ontology language;['luanyi'];[1];yes
228;coloured petri nets;uses;web ontology language;['luanyi'];[1];yes
216;commerce;requires;ontology alignment;['openie'];[1];yes
618;communication;uses;linked data;['heuristic'];[8];yes
1141;communication;supports;ontology alignment;['heuristic'];[3.0];no
914;communication;acquires;semantic search engines;['heuristic'];[5.0];no
1005;communication;provides;web ontology language;['heuristic'];[4.0];no
1142;communication protocols;produces;web ontology language;['heuristic'];[3.0];no
603;component-based software engineering;is;ontology alignment;['openie'];[1];yes
915;component-based software engineering;provides;resource description framework (rdf);['heuristic'];[5.0];no
1143;component-based software engineering;produces;semantic search engine;['heuristic'];[3.0];no
635;component-based software engineering;uses;web ontology language;['heuristic', 'heuristic'];[14, 9];yes
1144;computation independent model (cim);proposes;linked data;['heuristic'];[3.0];no
916;computation independent model (cim);represents;web ontology language;['heuristic'];[5.0];no
749;computation independent model (cim);uses;web ontology language;['heuristic'];[1];yes
498;computer science;uses;linked data;['luanyi'];[1];yes
1006;computer systems;includes;linked data;['heuristic'];[4.0];no
418;computer vision;uses;semantic description;['luanyi'];[1];yes
851;concept similarity;proposes;ontology alignment;['heuristic'];[6.0];no
388;concept similarity;uses;ontology alignment;['luanyi'];[1];yes
453;conceptual reference model (crm);uses;ontology alignment;['luanyi'];[1];yes
917;congenial access control (cac);links;linked data;['heuristic'];[5.0];no
640;constraint language;uses;resource description framework (rdf);['heuristic'];[1];yes
1145;constraint language;base;web ontology language;['heuristic'];[3.0];no
744;content management;uses;semantic web services;['heuristic'];[2];yes
687;content management systems;uses;semantic web services;['heuristic'];[2];yes
918;context models;proposes;web ontology language;['heuristic'];[5.0];no
748;controlled vocabulary;uses;web ontology language;['heuristic'];[2];yes
1007;cycle;acquires;linked data;['heuristic'];[4.0];no
1146;data exchange;produces;linked data;['heuristic'];[3.0];no
1008;data exchange;provides;resource description framework (rdf);['heuristic'];[4.0];no
19;data exchange;uses;resource description framework (rdf);['luanyi', 'luanyi'];[3, 1];yes
1009;data exchange;queries;web ontology language;['heuristic'];[4.0];no
162;data integration;uses;linked data;['luanyi', 'heuristic'];[2, 20];yes
919;data integration;is;ontology alignment;['heuristic'];[5.0];no
48;data integration;uses;ontology alignment;['luanyi', 'luanyi'];[1, 3];yes
1010;data integration;provides;resource description framework (rdf);['heuristic'];[4.0];no
1147;data integration;supports;semantic search engines;['heuristic'];[3.0];no
1148;data integration;base;semantic web services;['heuristic'];[3.0];no
163;data integration;uses;semantic web services;['luanyi'];[1];yes
132;data integration;uses;web ontology language;['luanyi'];[1];yes
641;data management;uses;linked data;['heuristic'];[14];yes
920;data management;supports;resource description framework (rdf);['heuristic'];[5.0];no
1149;data mining;supports;ontology alignment;['heuristic'];[3.0];no
1150;data mining;acquires;resource description framework (rdf);['heuristic'];[3.0];no
1151;data mining;produces;semantic search engines;['heuristic'];[3.0];no
60;data publishing;uses;linked data;['luanyi', 'heuristic'];[1, 4];yes
609;data publishing;uses;resource description framework (rdf);['openie', 'heuristic'];[1, 1];yes
168;data sparsity;uses;linked data;['luanyi'];[1];yes
1152;database systems;includes;resource description framework (rdf);['heuristic'];[3.0];no
584;database systems;includes;semantic description;['luanyi'];[1];yes
282;database systems;includes;semantic descriptions;['luanyi'];[1];yes
481;dbpedia;is;linked data;['luanyi'];[4];yes
267;dbpedia;provides;linked data;['heuristic'];[39];yes
1011;decision procedures;supports;web ontology language;['heuristic'];[4.0];no
79;deontic logic;is;web ontology language;['luanyi'];[1];yes
1153;description logics;base;resource description framework (rdf);['heuristic'];[3.0];no
58;description logics;supports;web ontology language;['heuristic'];[29];yes
345;description logics;uses;web ontology language;['luanyi'];[7];yes
921;design knowledge;base;ontology alignment;['heuristic'];[5.0];no
442;digital contents;uses;linked data;['luanyi'];[1];yes
1154;digital images;converts;web ontology language;['heuristic'];[3.0];no
519;digital libraries;uses;linked data;['luanyi'];[1];yes
613;digital libraries;uses;semantic web services;['luanyi'];[2];yes
922;digital preservation;contributes;linked data;['heuristic'];[5.0];no
1012;distributed architectures;base;semantic web services;['heuristic'];[4.0];no
1155;distributed hash table;supports;semantic search engines;['heuristic'];[3.0];no
567;distributed hash table;includes;semantic web services;['luanyi'];[1];yes
337;distributed query processing;uses;linked data;['luanyi'];[1];yes
363;document clustering;uses;semantic search engines;['luanyi'];[1];yes
728;domain knowledge;uses;resource description framework (rdf);['heuristic'];[1];yes
324;domain knowledge;uses;semantic description;['luanyi'];[1];yes
1156;domain knowledge;produces;semantic search engines;['heuristic'];[3.0];no
573;domain knowledge;uses;semantic search engines;['luanyi'];[1];yes
122;domain knowledge;uses;semantic web services;['luanyi'];[1];yes
810;domain knowledge;converts;web ontology language;['heuristic'];[7.0];no
238;domain knowledge;includes;web ontology language;['luanyi'];[2];yes
71;domain knowledge;uses;web ontology language;['luanyi'];[3];yes
778;domain-specific ontologies;supports;linked data;['heuristic'];[8.0];no
16;domain-specific ontologies;uses;ontology alignment;['luanyi'];[2];yes
639;domain-specific ontologies;uses;resource description framework (rdf);['heuristic'];[2];yes
1157;domain-specific ontologies;includes;semantic description;['heuristic'];[3.0];no
923;domain-specific ontologies;proposes;web ontology language;['heuristic'];[5.0];no
274;domain-specific ontologies;uses;web ontology language;['openie', 'luanyi', 'luanyi'];[1, 2, 3];yes
198;dublin core;is;resource description framework (rdf);['luanyi'];[1];yes
1013;dublin core;selects;resource description framework (rdf);['heuristic'];[4.0];no
1158;dublin core;learns;web ontology language;['heuristic'];[3.0];no
852;education;links;linked data;['heuristic'];[6.0];no
1014;education;uses;resource description framework (rdf);['heuristic'];[4.0];no
769;education;uses;web ontology language;['heuristic'];[1];yes
607;electronic commerce;requires;ontology alignment;['openie'];[1];yes
40;electronic commerce;uses;ontology alignment;['luanyi'];[1];yes
727;electronic health record (ehr);uses;semantic search engine;['heuristic'];[1];yes
693;electronic health record (ehr);uses;semantic search engines;['heuristic'];[3];yes
