;s;p;o;source;support;pipeline;Danilo
624;access control;uses;resource description framework (rdf);['heuristic'];[1];yes;y
761;access control;uses;web ontology language;['heuristic'];[12];yes;y
577;access control mechanism;uses;web ontology language;['luanyi', 'heuristic'];[1, 1];yes;y
696;activity recognition;uses;resource description framework (rdf);['heuristic'];[1];yes;y
725;activity recognition;uses;web ontology language;['heuristic'];[1];yes;y
395;affective computing;uses;semantic description;['luanyi'];[1];yes;y
576;agent technology;uses;semantic description;['luanyi'];[1];yes;y
808;agent technology;uses;semantic web services;['heuristic'];[7.0];no;y
277;anomaly detection;uses;ontology alignment;['luanyi'];[1];yes;y
533;answering queries;uses;linked data;['luanyi'];[1];yes;y
106;answering queries;uses;ontology alignment;['luanyi', 'luanyi'];[1, 2];yes;y
1001;architecture reconstruction;proposes;semantic description;['heuristic'];[4.0];no;n
1132;argumentation;combines;ontology alignment;['heuristic'];[3.0];no;y
102;artificial intelligence;is;linked data;['luanyi'];[2];yes;n
912;artificial intelligence;produces;semantic description;['heuristic'];[5.0];no;y
1133;audio;includes;semantic description;['heuristic'];[3.0];no;n
1134;augmented reality;links;linked data;['heuristic'];[3.0];no;n
809;authentication;links;linked data;['heuristic'];[7.0];no;n
1135;authorization;base;semantic web services;['heuristic'];[3.0];no;y
729;authorization;uses;web ontology language;['heuristic'];[4];yes;n
1136;automated reasoning;converts;linked data;['heuristic'];[3.0];no;n
41;automated reasoning;uses;semantic web services;['luanyi'];[1];yes;y
368;automated systems;uses;ontology alignment;['luanyi'];[1];yes;y
147;automatic composition;uses;semantic web services;['luanyi'];[1];yes;y
645;automatic composition;uses;web ontology language;['heuristic'];[1];yes;y
239;automatic image annotation;supports;semantic search engines;['openie'];[1];yes;y
590;automatic translation;uses;web ontology language;['luanyi'];[2];yes;y
1137;b2b;proposes;linked data;['heuristic'];[3.0];no;n
735;b2b;uses;semantic web services;['heuristic'];[1];yes;n
414;background knowledge;uses;linked data;['luanyi', 'heuristic'];[3, 4];yes;n
1002;bayesian approaches;represents;semantic description;['heuristic'];[4.0];no;n
1138;bayesian classification;classifies;semantic description;['heuristic'];[3.0];no;y
206;bibliographic data;uses;linked data;['luanyi'];[5];yes;y
1139;blogospheres;uses;linked data;['heuristic'];[3.0];no;y
848;broadcast;base;semantic search engines;['heuristic'];[6.0];no;n
1003;building model;improves;web ontology language;['heuristic'];[4.0];no;n
1;business logic;uses;semantic web services;['luanyi'];[1];yes;y
649;business process modelling;uses;web ontology language;['heuristic'];[1];yes;y
152;business processes;uses;semantic web services;['luanyi', 'heuristic'];[2, 7];yes;y
730;capp;uses;web ontology language;['heuristic'];[1];yes;y
666;cellular;uses;web ontology language;['heuristic'];[3];yes;n
849;chord;publishes;semantic web services;['heuristic'];[6.0];no;n
1004;cloud computing;analyzes;semantic search engine;['heuristic'];[4.0];no;n
532;cloud computing;is;semantic search engine;['luanyi'];[1];yes;y
913;cloud computing;analyzes;semantic search engines;['heuristic'];[5.0];no;n
512;cloud services;uses;semantic description;['luanyi'];[1];yes;y
1140;cnc;produces;semantic web services;['heuristic'];[3.0];no;n
850;collaborative designs;produces;ontology alignment;['heuristic'];[6.0];no;n
256;collaborative designs;uses;web ontology language;['luanyi'];[1];yes;y
228;coloured petri nets;uses;web ontology language;['luanyi'];[1];yes;y
216;commerce;requires;ontology alignment;['openie'];[1];yes;n
618;communication;uses;linked data;['heuristic'];[8];yes;y
1141;communication;supports;ontology alignment;['heuristic'];[3.0];no;n
914;communication;acquires;semantic search engines;['heuristic'];[5.0];no;n
1005;communication;provides;web ontology language;['heuristic'];[4.0];no;n
1142;communication protocols;produces;web ontology language;['heuristic'];[3.0];no;n
603;component-based software engineering;is;ontology alignment;['openie'];[1];yes;y
915;component-based software engineering;provides;resource description framework (rdf);['heuristic'];[5.0];no;y
1143;component-based software engineering;produces;semantic search engine;['heuristic'];[3.0];no;y
635;component-based software engineering;uses;web ontology language;['heuristic', 'heuristic'];[14, 9];yes;y
1144;computation independent model (cim);proposes;linked data;['heuristic'];[3.0];no;y
916;computation independent model (cim);represents;web ontology language;['heuristic'];[5.0];no;y
749;computation independent model (cim);uses;web ontology language;['heuristic'];[1];yes;y
498;computer science;uses;linked data;['luanyi'];[1];yes;y
1006;computer systems;includes;linked data;['heuristic'];[4.0];no;y
418;computer vision;uses;semantic description;['luanyi'];[1];yes;y
851;concept similarity;proposes;ontology alignment;['heuristic'];[6.0];no;n
388;concept similarity;uses;ontology alignment;['luanyi'];[1];yes;y
453;conceptual reference model (crm);uses;ontology alignment;['luanyi'];[1];yes;y
917;congenial access control (cac);links;linked data;['heuristic'];[5.0];no;y
640;constraint language;uses;resource description framework (rdf);['heuristic'];[1];yes;y
1145;constraint language;base;web ontology language;['heuristic'];[3.0];no;y
744;content management;uses;semantic web services;['heuristic'];[2];yes;y
687;content management systems;uses;semantic web services;['heuristic'];[2];yes;y
918;context models;proposes;web ontology language;['heuristic'];[5.0];no;n
748;controlled vocabulary;uses;web ontology language;['heuristic'];[2];yes;y
1007;cycle;acquires;linked data;['heuristic'];[4.0];no;n
1146;data exchange;produces;linked data;['heuristic'];[3.0];no;y
1008;data exchange;provides;resource description framework (rdf);['heuristic'];[4.0];no;n
19;data exchange;uses;resource description framework (rdf);['luanyi', 'luanyi'];[3, 1];yes;y
1009;data exchange;queries;web ontology language;['heuristic'];[4.0];no;n
162;data integration;uses;linked data;['luanyi', 'heuristic'];[2, 20];yes;y
919;data integration;is;ontology alignment;['heuristic'];[5.0];no;y
48;data integration;uses;ontology alignment;['luanyi', 'luanyi'];[1, 3];yes;y
1010;data integration;provides;resource description framework (rdf);['heuristic'];[4.0];no;n
1147;data integration;supports;semantic search engines;['heuristic'];[3.0];no;y
1148;data integration;base;semantic web services;['heuristic'];[3.0];no;y
163;data integration;uses;semantic web services;['luanyi'];[1];yes;y
132;data integration;uses;web ontology language;['luanyi'];[1];yes;y
641;data management;uses;linked data;['heuristic'];[14];yes;y
920;data management;supports;resource description framework (rdf);['heuristic'];[5.0];no;y
1149;data mining;supports;ontology alignment;['heuristic'];[3.0];no;y
1150;data mining;acquires;resource description framework (rdf);['heuristic'];[3.0];no;y
1151;data mining;produces;semantic search engines;['heuristic'];[3.0];no;n
60;data publishing;uses;linked data;['luanyi', 'heuristic'];[1, 4];yes;y
609;data publishing;uses;resource description framework (rdf);['openie', 'heuristic'];[1, 1];yes;y
168;data sparsity;uses;linked data;['luanyi'];[1];yes;n
1152;database systems;includes;resource description framework (rdf);['heuristic'];[3.0];no;y
584;database systems;includes;semantic description;['luanyi'];[1];yes;y
282;database systems;includes;semantic descriptions;['luanyi'];[1];yes;y
481;dbpedia;is;linked data;['luanyi'];[4];yes;y
267;dbpedia;provides;linked data;['heuristic'];[39];yes;y
1011;decision procedures;supports;web ontology language;['heuristic'];[4.0];no;n
79;deontic logic;is;web ontology language;['luanyi'];[1];yes;y
1153;description logics;base;resource description framework (rdf);['heuristic'];[3.0];no;y
58;description logics;supports;web ontology language;['heuristic'];[29];yes;y
345;description logics;uses;web ontology language;['luanyi'];[7];yes;y
921;design knowledge;base;ontology alignment;['heuristic'];[5.0];no;n
442;digital contents;uses;linked data;['luanyi'];[1];yes;y
1154;digital images;converts;web ontology language;['heuristic'];[3.0];no;n
519;digital libraries;uses;linked data;['luanyi'];[1];yes;y
613;digital libraries;uses;semantic web services;['luanyi'];[2];yes;y
