;s;p;o;source;support;pipeline;Danilo;FRA;;;;;;Danilo-FRA;;;
624;access control;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y;;;;;;1;;;
761;access control;uses;web ontology language;['heuristic'];[12];yes;y;y;;;;;;1;;;
577;access control mechanism;uses;web ontology language;['luanyi', 'heuristic'];[1, 1];yes;y;y;;;;;;1;;Agreement: Danilo - Francesco;0,70490566
696;activity recognition;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y;;;;;;1;;;
725;activity recognition;uses;web ontology language;['heuristic'];[1];yes;y;y;;;;;;1;;;
395;affective computing;uses;semantic description;['luanyi'];[1];yes;y;y;;;;;;1;;;
576;agent technology;uses;semantic description;['luanyi'];[1];yes;y;y;;;;;;1;;;
808;agent technology;uses;semantic web services;['heuristic'];[7.0];no;y;y;;;;;;1;;;
277;anomaly detection;uses;ontology alignment;['luanyi'];[1];yes;y;n;;;;;;0;;;
533;answering queries;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
106;answering queries;uses;ontology alignment;['luanyi', 'luanyi'];[1, 2];yes;y;y;;;;;;1;;;
1001;architecture reconstruction;proposes;semantic description;['heuristic'];[4.0];no;n;n;;;;;;1;;;
1132;argumentation;combines;ontology alignment;['heuristic'];[3.0];no;y;n;;;;;;0;;;
102;artificial intelligence;is;linked data;['luanyi'];[2];yes;n;n;;;;;;1;;;
912;artificial intelligence;produces;semantic description;['heuristic'];[5.0];no;y;y;;;;;;1;;;
1133;audio;includes;semantic description;['heuristic'];[3.0];no;n;y;;;;;;0;;;
1134;augmented reality;links;linked data;['heuristic'];[3.0];no;n;y;;;;;;0;;;
809;authentication;links;linked data;['heuristic'];[7.0];no;n;n;;;;;;1;;;
1135;authorization;base;semantic web services;['heuristic'];[3.0];no;y;n;;;;;;0;;;
729;authorization;uses;web ontology language;['heuristic'];[4];yes;n;y;;;;;;0;;;
1136;automated reasoning;converts;linked data;['heuristic'];[3.0];no;n;n;;;;;;1;;;
41;automated reasoning;uses;semantic web services;['luanyi'];[1];yes;y;y;;;;;;1;;;
368;automated systems;uses;ontology alignment;['luanyi'];[1];yes;y;y;;;;;;1;;;
147;automatic composition;uses;semantic web services;['luanyi'];[1];yes;y;y;;;;;;1;;;
645;automatic composition;uses;web ontology language;['heuristic'];[1];yes;y;y;;;;;;1;;;
239;automatic image annotation;supports;semantic search engines;['openie'];[1];yes;y;y;;;;;;1;;;
590;automatic translation;uses;web ontology language;['luanyi'];[2];yes;y;y;;;;;;1;;;
1137;b2b;proposes;linked data;['heuristic'];[3.0];no;n;n;;;;;;1;;;
735;b2b;uses;semantic web services;['heuristic'];[1];yes;n;y;;;;;;0;;;
414;background knowledge;uses;linked data;['luanyi', 'heuristic'];[3, 4];yes;n;n;;;;;;1;;;
1002;bayesian approaches;represents;semantic description;['heuristic'];[4.0];no;n;n;;;;;;1;;;
1138;bayesian classification;classifies;semantic description;['heuristic'];[3.0];no;y;y;;;;;;1;;;
206;bibliographic data;uses;linked data;['luanyi'];[5];yes;y;y;;;;;;1;;;
1139;blogospheres;uses;linked data;['heuristic'];[3.0];no;y;y;;;;;;1;;;
848;broadcast;base;semantic search engines;['heuristic'];[6.0];no;n;y;;;;;;0;;;
1003;building model;improves;web ontology language;['heuristic'];[4.0];no;n;n;;;;;;1;;;
1;business logic;uses;semantic web services;['luanyi'];[1];yes;y;y;;;;;;1;;;
649;business process modelling;uses;web ontology language;['heuristic'];[1];yes;y;y;;;;;;1;;;
152;business processes;uses;semantic web services;['luanyi', 'heuristic'];[2, 7];yes;y;y;;;;;;1;;;
666;cellular;uses;web ontology language;['heuristic'];[3];yes;n;y;;;;;;0;;;
849;chord;publishes;semantic web services;['heuristic'];[6.0];no;n;y;;;;;;0;;;
1004;cloud computing;analyzes;semantic search engine;['heuristic'];[4.0];no;n;y;;;;;;0;;;
532;cloud computing;is;semantic search engine;['luanyi'];[1];yes;y;n;;;;;;0;;;
913;cloud computing;analyzes;semantic search engines;['heuristic'];[5.0];no;n;y;;;;;;0;;;
512;cloud services;uses;semantic description;['luanyi'];[1];yes;y;y;;;;;;1;;;
850;collaborative designs;produces;ontology alignment;['heuristic'];[6.0];no;n;y;;;;;;0;;;
256;collaborative designs;uses;web ontology language;['luanyi'];[1];yes;y;y;;;;;;1;;;
228;coloured petri nets;uses;web ontology language;['luanyi'];[1];yes;y;y;;;;;;1;;;
216;commerce;requires;ontology alignment;['openie'];[1];yes;n;n;;;;;;1;;;
618;communication;uses;linked data;['heuristic'];[8];yes;y;y;;;;;;1;;;
1141;communication;supports;ontology alignment;['heuristic'];[3.0];no;n;n;;;;;;1;;;
914;communication;acquires;semantic search engines;['heuristic'];[5.0];no;n;n;;;;;;1;;;
1005;communication;provides;web ontology language;['heuristic'];[4.0];no;n;n;;;;;;1;;;
1142;communication protocols;produces;web ontology language;['heuristic'];[3.0];no;n;n;;;;;;1;;;
603;component-based software engineering;is;ontology alignment;['openie'];[1];yes;y;n;;;;;;0;;;
915;component-based software engineering;provides;resource description framework (rdf);['heuristic'];[5.0];no;y;n;;;;;;0;;;
1143;component-based software engineering;produces;semantic search engine;['heuristic'];[3.0];no;y;y;;;;;;1;;;
635;component-based software engineering;uses;web ontology language;['heuristic', 'heuristic'];[14, 9];yes;y;y;;;;;;1;;;
1144;computation independent model (cim);proposes;linked data;['heuristic'];[3.0];no;y;n;;;;;;0;;;
916;computation independent model (cim);represents;web ontology language;['heuristic'];[5.0];no;y;y;;;;;;1;;;
749;computation independent model (cim);uses;web ontology language;['heuristic'];[1];yes;y;y;;;;;;1;;;
498;computer science;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
1006;computer systems;includes;linked data;['heuristic'];[4.0];no;y;n;;;;;;0;;;
418;computer vision;uses;semantic description;['luanyi'];[1];yes;y;y;;;;;;1;;;
