;s;p;o;source;support;Danilo;
378;access control;uses;resource description framework (rdf);heuristic;1;y;
752;access control;uses;web ontology language;heuristic;12;y;
23;access control mechanism;uses;web ontology language;luanyi;1;y;
675;activity recognition;uses;resource description framework (rdf);heuristic;1;y;
366;activity recognition;uses;web ontology language;heuristic;1;y;
853;adaptive hypermedia;conjunction;linked data;heuristic;1;y;
214;adaptive hypermedia;conjunction;semantic search engines;luanyi;1;y;
153;affective computing;uses;semantic description;luanyi;1;y;
106;agent technology;uses;semantic description;luanyi;1;y;
798;agent technology;conjunction;semantic search engines;heuristic;1;y;
220;ajax;conjunction;linked data;luanyi;1;y;
864;ajax;conjunction;resource description framework (rdf);luanyi;1;y;
92;ajax;conjunction;web ontology language;luanyi;1;y;
520;anomaly detection;uses;ontology alignment;luanyi;1;y;
726;answer set programming;conjunction;web ontology language;luanyi;1;n;
291;answering queries;uses;linked data;luanyi;1;y;
489;answering queries;uses;ontology alignment;luanyi;2;y;
683;artificial intelligence;is;linked data;luanyi;2;n;
874;artificial intelligence;conjunction;semantic search engines;luanyi;3;y;
245;artificial intelligence;conjunction;semantic web services;luanyi;1;y;
126;authorization;uses;web ontology language;heuristic;4;n;
857;automated reasoning;uses;semantic web services;luanyi;1;y;
541;automated systems;uses;ontology alignment;luanyi;1;y;
986;automatic composition;uses;semantic web services;luanyi;1;y;
919;automatic composition;uses;web ontology language;heuristic;1;y;
975;automatic image annotation;supports;semantic search engines;openie;1;y;
554;automatic translation;uses;web ontology language;luanyi;2;y;
515;automation;recommends;semantic web services;heuristic;12;n;
125;b2b;uses;semantic web services;heuristic;1;n;
32;back propagation neural networks;conjunction;semantic web services;luanyi;1;y;
533;background knowledge;uses;linked data;luanyi;3;n;
917;bibliographic data;uses;linked data;luanyi;5;y;
486;big data;conjunction;linked data;luanyi;1;y;
583;biometrics;supports;semantic description;heuristic;9;n;
705;blogs;conjunction;ontology alignment;luanyi;1;n;
355;broker pattern;converts;semantic web services;heuristic;9;n;
581;business logic;uses;semantic web services;luanyi;1;y;
886;business process execution language;conjunction;web ontology language;luanyi;1;y;
350;business process modelling;uses;web ontology language;heuristic;1;y;
435;business processes;uses;semantic web services;luanyi;2;y;
643;caching;conjunction;web ontology language;luanyi;1;n;
49;cellular;uses;web ontology language;heuristic;3;n;
328;change detection;conjunction;ontology alignment;heuristic;1;n;
543;cloud computing;conjunction;linked data;luanyi;1;y;
669;cloud computing;is;semantic search engine;luanyi;1;y;
314;cloud computing;conjunction;semantic search engines;luanyi;2;y;
717;cloud computing;conjunction;semantic web services;luanyi;1;y;
715;cloud services;uses;semantic description;luanyi;1;y;
27;cloud storages;conjunction;semantic search engines;luanyi;1;y;
905;clustering algorithms;conjunction;linked data;heuristic;1;y;
447;clustering algorithms;conjunction;ontology alignment;luanyi;1;y;
591;clustering algorithms;conjunction;semantic search engines;luanyi;1;y;
101;collaborative designs;uses;web ontology language;luanyi;1;y;
87;coloured petri nets;represents;semantic web services;heuristic;13;y;
117;coloured petri nets;uses;web ontology language;luanyi;1;y;
742;commerce;requires;ontology alignment;openie;1;n;
90;commerce;conjunction;semantic web services;heuristic;1;n;
589;communication;supports;resource description framework (rdf);heuristic;15;n;
370;communication;produces;semantic web services;heuristic;16;n;
240;community detection;conjunction;semantic search engines;luanyi;2;y;
943;complex networks;conjunction;linked data;luanyi;2;y;
179;component-based software engineering;links;linked data;heuristic;14;y;
542;component-based software engineering;is;ontology alignment;openie;1;y;
31;component-based software engineering;acquires;semantic description;heuristic;11;y;
357;component-based software engineering;selects;semantic web services;heuristic;13;y;
78;component-based software engineering;uses;web ontology language;heuristic;9;y;
766;computer science;uses;linked data;luanyi;1;y;
320;computer vision;uses;semantic description;luanyi;1;y;
896;concept similarity;uses;ontology alignment;luanyi;1;y;
979;constraint language;uses;resource description framework (rdf);heuristic;1;y;
912;content management;conjunction;resource description framework (rdf);heuristic;1;y;
324;content management;uses;semantic web services;heuristic;2;y;
878;content management systems;uses;semantic web services;heuristic;2;y;
19;context modeling;conjunction;ontology alignment;luanyi;1;y;
929;controlled vocabulary;uses;web ontology language;heuristic;2;y;
745;data exchange;conjunction;ontology alignment;luanyi;1;y;
695;data exchange;conjunction;resource description framework (rdf);luanyi;1;y;
887;data integration;uses;linked data;luanyi;2;y;
244;data integration;conjunction;ontology alignment;luanyi;5;y;
37;data integration;publishes;resource description framework (rdf);heuristic;13;n;
846;data integration;conjunction;semantic search engines;luanyi;2;y;
