;s;p;o;annotation (y or n)
0;access control;uses;resource description framework (rdf);
1;access control;uses;web ontology language;
2;access control mechanism;uses;web ontology language;
3;activity recognition;uses;resource description framework (rdf);
4;activity recognition;uses;web ontology language;
5;affective computing;uses;semantic description;
6;agent technology;uses;semantic description;
7;agent technology;uses;semantic web services;
8;anomaly detection;uses;ontology alignment;
9;answering queries;uses;linked data;
10;answering queries;uses;ontology alignment;
11;architecture reconstruction;proposes;semantic description;
12;argumentation;combines;ontology alignment;
13;artificial intelligence;skos:broader/is/hyponym-of;linked data;
14;artificial intelligence;produces;semantic description;
15;audio;includes;semantic description;
16;augmented reality;links;linked data;
17;authentication;links;linked data;
18;authorization;based-on;semantic web services;
19;authorization;uses;web ontology language;
20;automated reasoning;converts-to;linked data;
21;automated reasoning;uses;semantic web services;
22;automated systems;uses;ontology alignment;
23;automatic composition;uses;semantic web services;
24;automatic composition;uses;web ontology language;
25;automatic image annotation;supports;semantic search engines;
26;automatic translation;uses;web ontology language;
27;b2b;proposes;linked data;
28;b2b;uses;semantic web services;
29;background knowledge;uses;linked data;
30;bayesian approaches;represents;semantic description;
31;bayesian classification;classify;semantic description;
32;bibliographic data;uses;linked data;
33;blogospheres;uses;linked data;
34;broadcast;based-on;semantic search engines;
35;building model;improves;web ontology language;
36;business logic;uses;semantic web services;
37;business process modelling;uses;web ontology language;
38;business processes;uses;semantic web services;
39;cellular;uses;web ontology language;
40;chord;publishes;semantic web services;
41;cloud computing;analyzes;semantic search engine;
42;cloud computing;skos:broader/is/hyponym-of;semantic search engine;
43;cloud computing;analyzes;semantic search engines;
44;cloud services;uses;semantic description;
45;collaborative designs;produces;ontology alignment;
46;collaborative designs;uses;web ontology language;
47;coloured petri nets;uses;web ontology language;
48;commerce;requires;ontology alignment;
49;communication;uses;linked data;
50;communication;supports;ontology alignment;
51;communication;acquires;semantic search engines;
52;communication;provides;web ontology language;
53;communication protocols;produces;web ontology language;
54;component-based software engineering;skos:broader/is/hyponym-of;ontology alignment;
55;component-based software engineering;provides;resource description framework (rdf);
56;component-based software engineering;produces;semantic search engine;
57;component-based software engineering;uses;web ontology language;
58;computation independent model (cim);proposes;linked data;
59;computation independent model (cim);represents;web ontology language;
60;computation independent model (cim);uses;web ontology language;
61;computer science;uses;linked data;
62;computer systems;includes;linked data;
63;computer vision;uses;semantic description;
64;concept similarity;proposes;ontology alignment;
65;concept similarity;uses;ontology alignment;
66;conceptual reference model (crm);uses;ontology alignment;
67;congenial access control (cac);links;linked data;
68;constraint language;uses;resource description framework (rdf);
69;constraint language;based-on;web ontology language;
70;content management;uses;semantic web services;
71;content management systems;uses;semantic web services;
72;context models;proposes;web ontology language;
73;controlled vocabulary;uses;web ontology language;
74;cycle;acquires;linked data;
75;data exchange;produces;linked data;
76;data exchange;provides;resource description framework (rdf);
77;data exchange;uses;resource description framework (rdf);
78;data exchange;queries;web ontology language;
79;data integration;uses;linked data;
80;data integration;skos:broader/is/hyponym-of;ontology alignment;
81;data integration;uses;ontology alignment;
82;data integration;provides;resource description framework (rdf);
83;data integration;supports;semantic search engines;
84;data integration;based-on;semantic web services;
85;data integration;uses;semantic web services;
86;data integration;uses;web ontology language;
87;data management;uses;linked data;
88;data management;supports;resource description framework (rdf);
89;data mining;supports;ontology alignment;
90;data mining;acquires;resource description framework (rdf);
91;data mining;produces;semantic search engines;
92;data publishing;uses;linked data;
93;data publishing;uses;resource description framework (rdf);
94;data sparsity;uses;linked data;
95;database systems;includes;resource description framework (rdf);
96;database systems;includes;semantic description;
98;dbpedia;provides;linked data;
97;dbpedia;skos:broader/is/hyponym-of;linked data;
99;decision procedures;supports;web ontology language;
100;deontic logic;skos:broader/is/hyponym-of;web ontology language;
101;description logics;based-on;resource description framework (rdf);
102;description logics;supports;web ontology language;
103;description logics;uses;web ontology language;
104;design knowledge;based-on;ontology alignment;
105;digital contents;uses;linked data;
106;digital images;converts-to;web ontology language;
107;digital libraries;uses;linked data;
108;digital libraries;uses;semantic web services;
109;digital preservation;contributes-to;linked data;
110;distributed architectures;based-on;semantic web services;
111;distributed hash table;supports;semantic search engines;
112;distributed hash table;includes;semantic web services;
113;distributed query processing;uses;linked data;
114;document clustering;uses;semantic search engines;
115;domain knowledge;uses;resource description framework (rdf);
116;domain knowledge;uses;semantic description;
117;domain knowledge;produces;semantic search engines;
118;domain knowledge;uses;semantic search engines;
119;domain knowledge;uses;semantic web services;
120;domain knowledge;converts-to;web ontology language;
121;domain knowledge;includes;web ontology language;
122;domain knowledge;uses;web ontology language;
123;domain-specific ontologies;supports;linked data;
124;domain-specific ontologies;uses;ontology alignment;
125;domain-specific ontologies;uses;resource description framework (rdf);
126;domain-specific ontologies;includes;semantic description;
127;domain-specific ontologies;proposes;web ontology language;
128;domain-specific ontologies;uses;web ontology language;
130;dublin core;selects;resource description framework (rdf);
129;dublin core;skos:broader/is/hyponym-of;resource description framework (rdf);
131;dublin core;learns;web ontology language;
132;education;links;linked data;
133;education;uses;resource description framework (rdf);
134;education;uses;web ontology language;
135;electronic commerce;requires;ontology alignment;
136;electronic commerce;uses;ontology alignment;
137;electronic health record (ehr);uses;semantic search engine;
138;electronic health record (ehr);uses;semantic search engines;
139;engineering;supports;resource description framework (rdf);
140;engineering;proposes;semantic description;
141;engineering;automates;semantic web services;
142;engineering;supports;web ontology language;
143;enterprise architecture;uses;resource description framework (rdf);
144;enterprise information systems;uses;semantic web services;
145;extensible markup language;uses;resource description framework (rdf);
146;extensible markup language (xml);converts-to;linked data;
147;extensible markup language (xml);uses;ontology alignment;
148;extensible markup language (xml);converts-to;resource description framework (rdf);
149;extensible markup language (xml);uses;resource description framework (rdf);
150;extensible markup language (xml);uses;semantic search engine;
151;extensible markup language (xml);proposes;semantic search engines;
152;extensible markup language (xml);defines;web ontology language;
153;extensible stylesheet language (xslt);converts-to;resource description framework (rdf);
154;extract-transform-load (etl) process;proposes;web ontology language;
155;facebook;skos:broader/is/hyponym-of;semantic search engines;
156;facial expressions;uses;linked data;
157;financial statement ontology (fso);uses;web ontology language;
158;fingerprints;learns;linked data;
159;formal concept analysis (fca);uses;ontology alignment;
160;formal models;uses;semantic web services;
161;formal specifications;uses;resource description framework (rdf);
162;fuzzy description logic;extends;web ontology language;
163;fuzzy logics;maintains;semantic description;
164;fuzzy ontology;proposes;resource description framework (rdf);
165;fuzzy ontology;uses;semantic search engine;
166;geographic information system;uses;linked data;
167;geospatial data;uses;semantic description;
168;graphical models;learns;semantic description;
169;grid computing;skos:broader/is/hyponym-of;semantic web services;
170;grid services;uses;semantic description;
171;grid services;defines;web ontology language;
172;grid services;uses;web ontology language;
173;hadoop;uses;semantic search engines;
174;hash;links;linked data;
175;heterogeneous databases;includes;semantic search engines;
176;hierarchical structures;uses;resource description framework (rdf);
177;hypertext markup language (html);produces;resource description framework (rdf);
178;hypertext markup language (html);provides;semantic search engines;
179;hypertext markup language (html);skos:broader/is/hyponym-of;web ontology language;
180;hypertext transfer protocol (http);uses;linked data;
181;hypertext transfer protocol (http);produces;semantic search engines;
182;hypervisor;skos:broader/is/hyponym-of;linked data;
183;image retrieval;uses;ontology alignment;
184;image retrieval;based-on;semantic description;
185;image retrieval;supports;semantic search engines;
