;s;p;o;source;support
135;access control;uses;resource description framework (rdf);heuristic;1
553;access control;uses;web ontology language;heuristic;12
462;access control mechanism;uses;web ontology language;luanyi;1
579;activity recognition;uses;resource description framework (rdf);heuristic;1
625;activity recognition;uses;web ontology language;heuristic;1
576;adaptive hypermedia;conjunction;linked data;heuristic;1
117;adaptive hypermedia;conjunction;semantic search engines;luanyi;1
123;affective computing;uses;semantic description;luanyi;1
62;agent technology;uses;semantic description;luanyi;1
137;agent technology;conjunction;semantic search engines;heuristic;1
145;ajax;conjunction;linked data;luanyi;1
591;ajax;conjunction;resource description framework (rdf);luanyi;1
629;anomaly detection;uses;ontology alignment;luanyi;1
895;answer set programming;conjunction;web ontology language;luanyi;1
355;answering queries;uses;linked data;luanyi;1
150;answering queries;uses;ontology alignment;luanyi;2
863;artificial intelligence;is;linked data;luanyi;2
24;artificial intelligence;conjunction;semantic search engines;luanyi;3
456;artificial intelligence;conjunction;semantic web services;luanyi;1
582;authorization;uses;web ontology language;heuristic;4
598;automated reasoning;uses;semantic web services;luanyi;1
451;automated systems;uses;ontology alignment;luanyi;1
220;automatic composition;uses;semantic web services;luanyi;1
523;automatic composition;uses;web ontology language;heuristic;1
161;automatic image annotation;supports;semantic search engines;openie;1
213;automatic translation;uses;web ontology language;luanyi;2
830;automation;recommends;semantic web services;heuristic;12
946;b2b;uses;semantic web services;heuristic;1
798;back propagation neural networks;conjunction;semantic web services;luanyi;1
622;bibliographic data;uses;linked data;luanyi;5
948;big data;conjunction;linked data;luanyi;1
261;biometrics;supports;semantic description;heuristic;9
411;blogs;conjunction;ontology alignment;luanyi;1
530;broker pattern;converts;semantic web services;heuristic;9
874;business logic;uses;semantic web services;luanyi;1
214;business process execution language;conjunction;web ontology language;luanyi;1
893;business process modelling;uses;web ontology language;heuristic;1
188;business processes;uses;semantic web services;luanyi;2
565;caching;conjunction;web ontology language;luanyi;1
362;cellular;uses;web ontology language;heuristic;3
905;change detection;conjunction;ontology alignment;heuristic;1
85;cloud computing;conjunction;linked data;luanyi;1
