,s,p,o,source,support
0,social networks,conjunction,ontology alignment,luanyi,1
1,uml models,visualizes,web ontology language,heuristic,9
2,java,conjunction,resource description framework (rdf),luanyi,1
3,knowledge representation,conjunction,semantic web services,luanyi,2
4,semantic search engine,uses,knowledge bases,heuristic,4
5,resource description framework (rdf),uses,database systems,luanyi,3
6,semantic search engines,uses,description logics,heuristic,3
7,linked data,includes,digital libraries,luanyi,2
8,domain knowledge,uses,semantic search engines,luanyi,1
9,engineering,produces,web ontology language,heuristic,11
10,semantic web services,uses,business logic,heuristic,8
11,commerce,requires,ontology alignment,openie,1
12,validation,uses,semantic description,heuristic,7
13,probability,converts,web ontology language,heuristic,1
14,pervasive computing,uses,web ontology language,heuristic,1
15,ontology alignment,conjunction,ontology merging,luanyi,1
16,semantic search engines,uses,domain-specific ontologies,luanyi,5
17,ontology alignment,conjunction,document clustering,luanyi,1
18,semantic search engine,uses,cloud computing,heuristic,4
19,semantic search engines,conjunction,natural language understanding,luanyi,1
20,semantic web services,conjunction,blogs,luanyi,1
21,software engineering,uses,linked data,luanyi,1
22,web contents,uses,semantic search engine,heuristic,1
23,sparql,is,resource description framework (rdf),luanyi,4
24,semantic web technologies,includes,ontology alignment,luanyi,10
25,semantic search engines,uses,engine,heuristic,47
26,service architecture,uses,resource description framework (rdf),heuristic,1
27,semantic web services,includes,semantic description,luanyi,2
28,information integration,conjunction,semantic search engines,luanyi,2
29,artificial intelligence,conjunction,semantic search engines,luanyi,3
30,ontology alignment,is,ontology learning,heuristic,4
31,knowledge management,is,semantic web services,luanyi,2
32,semantic search engines,uses,knowledge representation,luanyi,1
33,resource description framework (rdf),is,semantic wikis,luanyi,1
34,web applications,uses,linked data,luanyi,4
35,semantic descriptions,conjunction,intelligent agents,heuristic,4
36,information integration,uses,linked data,heuristic,3
37,ontology alignment,supports,knowledge exchange,heuristic,1
38,ontology alignment,uses,particle swarm optimization algorithms,luanyi,1
39,linked data,conjunction,linked open data,luanyi,2
40,linked data,produces,web applications,heuristic,11
41,data integration,uses,web ontology language,luanyi,1
42,linked data,conjunction,spatial data infrastructure,heuristic,1
43,resource description framework (rdf),is,ontology language,luanyi,11
44,ontologies,uses,semantic web services,heuristic,226
45,document clustering,uses,semantic search engines,luanyi,1
46,resource description framework (rdf),matches,relational database systems,heuristic,29
47,data integration,publishes,resource description framework (rdf),heuristic,13
48,natural language processing systems,conjunction,semantic search engines,luanyi,1
49,linked data,acquires,user-generated content,heuristic,9
50,software design patterns,uses,web ontology language,heuristic,1
51,semantic description,uses,semantic relationships,luanyi,1
52,ontology alignment,uses,fuzzy logics,heuristic,1
53,ontology alignment,conjunction,spatial databases,heuristic,1
54,semantic search engines,conjunction,ontology alignment,luanyi,1
55,web-mining,conjunction,ontology alignment,heuristic,1
56,ontology development,conjunction,ontology alignment,luanyi,2
57,semantic web services,uses,web services discovery,luanyi,2
58,web service composition,conjunction,ontology alignment,luanyi,1
59,semantic web services,includes,component-based software engineering,luanyi,1
60,web ontology language,conjunction,coloured petri nets,luanyi,1
61,communication,produces,semantic web services,heuristic,16
62,recommendation,conjunction,semantic web services,luanyi,1
63,ontology construction,conjunction,semantic search engines,heuristic,1
64,cloud computing,conjunction,semantic web services,heuristic,1
65,formal models,uses,semantic web services,heuristic,7
66,linked data,produces,user query,heuristic,11
67,grid computing,conjunction,semantic web services,heuristic,1
68,semantic descriptions,uses,semantic web technologies,heuristic,3
69,business processes,uses,semantic web services,heuristic,7
70,natural language processing systems,conjunction,ontology alignment,luanyi,2
71,activity recognition,uses,web ontology language,heuristic,1
72,semantic web services,uses,tool support,luanyi,1
73,deontic logic,is,web ontology language,luanyi,1
74,ontologies,uses,web ontology language,luanyi,8
75,web ontology language,conjunction,controlled natural language,luanyi,1
76,semantic search engine,uses,engine,heuristic,17
77,semantic web technologies,conjunction,semantic descriptions,luanyi,3
78,relational database systems,conjunction,resource description framework (rdf),luanyi,2
79,semantic descriptions,supports,business services,openie,1
80,ontology learning,conjunction,semantic search engines,heuristic,1
81,semantic search engine,uses,natural language interfaces,luanyi,4
82,semantic web services,conjunction,reasoning algorithms,luanyi,2
83,semantic heterogeneity,uses,ontology alignment,luanyi,3
84,knowledge management,uses,web ontology language,heuristic,1
85,semantic search engines,uses,query processing,heuristic,1
86,parsing algorithm,uses,linked data,luanyi,1
87,fuzzy ontology,uses,semantic search engine,luanyi,1
88,domain-specific ontologies,uses,ontology alignment,luanyi,2
89,resource description framework (rdf),provides,ontology modeling,openie,1
90,ontology alignment,conjunction,reasoning algorithms,luanyi,3
91,ontology alignment,uses,wordnet,luanyi,1
92,semantic search engines,uses,search engines,luanyi,11
93,web contents,uses,resource description framework (rdf),luanyi,1
94,resource description framework (rdf),conjunction,caching,luanyi,1
95,semantic descriptions,conjunction,intelligent agents,luanyi,3
96,service orchestration,conjunction,ontology alignment,heuristic,1
97,ontology alignment,is,semantic descriptions,luanyi,2
98,inference,conjunction,ontology alignment,heuristic,1
99,intelligent agents,uses,semantic web services,luanyi,2
100,semantic search engines,uses,hierarchical models,luanyi,2
101,linked data,supports,parsing algorithm,openie,1
102,ontology alignment,produces,communication,openie,1
103,semantic web services,conjunction,cloud computing,heuristic,1
104,resource description framework (rdf),conjunction,semantic web rule languages,luanyi,7
105,resource description framework (rdf),conjunction,natural language processing systems,luanyi,1
106,ontology learning,conjunction,ontology alignment,heuristic,1
107,libraries,uses,linked data,luanyi,1
108,semantic search engines,conjunction,machine learning techniques,heuristic,1
109,learning,produces,linked data,heuristic,23
110,semantic web services,uses,user query,luanyi,1
