,s,p,o,source,support,abstracts
0,seals evaluation service,based-on,web service interface,heuristic,1,['in this deliverable we describe a seals evaluation service for ontology matching that is based on the use of a web service interface to be implemented by the tool vendor . following this approach we can offer an evaluation service before many components of the seals platform have been finished . we describe both the system architecture of the evaluation service from a general point of view as well as the specific components and their relation to the modules of the seals platform .']
1,ontology alignment,based-on,web service interface,heuristic,1,['in this deliverable we describe a seals evaluation service for ontology matching that is based on the use of a web service interface to be implemented by the tool vendor . following this approach we can offer an evaluation service before many components of the seals platform have been finished . we describe both the system architecture of the evaluation service from a general point of view as well as the specific components and their relation to the modules of the seals platform .']
2,ontology matching approach,based-on,genetic algorithm (ga),heuristic,1,"['in this paper , we propose a new ontology matching approach , omega , based on genetic algorithms applied on the graph structure of ontologies . our approach finds the linguistic-structural similarities between concepts in two ontologies . it introduces new fitness functions and new criteria for categorizing test cases into four categories . our approach does not need any extra information or resource with exception to the ontology itself . experimental results on applying omega on defined cases show higher performance compared to existing method .']"
3,ontology matching approach,based-on,graph structure of ontology,heuristic,2,"['in this paper , we propose a new ontology matching approach , omega , based on genetic algorithms applied on the graph structure of ontologies . our approach finds the linguistic-structural similarities between concepts in two ontologies . it introduces new fitness functions and new criteria for categorizing test cases into four categories . our approach does not need any extra information or resource with exception to the ontology itself . experimental results on applying omega on defined cases show higher performance compared to existing method .']"
4,genetic algorithm (ga),uses,graph structure of ontology,heuristic,1,"['in this paper , we propose a new ontology matching approach , omega , based on genetic algorithms applied on the graph structure of ontologies . our approach finds the linguistic-structural similarities between concepts in two ontologies . it introduces new fitness functions and new criteria for categorizing test cases into four categories . our approach does not need any extra information or resource with exception to the ontology itself . experimental results on applying omega on defined cases show higher performance compared to existing method .']"
5,automated ontology matching methodology,supports,machine learning technique,heuristic,2,"['an automated ontology matching methodology is presented , supported by various machine learning techniques , as implemented in the system moto . the methodology is two-tiered . on the first stage it uses a meta-learner to elicit certain mappings from those predicted by single matchers induced by a specific base-learner . then , uncertain mappings are recovered passing through a validation process , followed by the aggregation of the individual predictions through linguistic quantifiers . experiments on benchmark ontologies demonstrate the effectiveness of the methodology .']"
6,machine learning technique,produces,system moto,heuristic,1,"['an automated ontology matching methodology is presented , supported by various machine learning techniques , as implemented in the system moto . the methodology is two-tiered . on the first stage it uses a meta-learner to elicit certain mappings from those predicted by single matchers induced by a specific base-learner . then , uncertain mappings are recovered passing through a validation process , followed by the aggregation of the individual predictions through linguistic quantifiers . experiments on benchmark ontologies demonstrate the effectiveness of the methodology .']"
7,automated ontology matching methodology,produces,system moto,heuristic,4,"['an automated ontology matching methodology is presented , supported by various machine learning techniques , as implemented in the system moto . the methodology is two-tiered . on the first stage it uses a meta-learner to elicit certain mappings from those predicted by single matchers induced by a specific base-learner . then , uncertain mappings are recovered passing through a validation process , followed by the aggregation of the individual predictions through linguistic quantifiers . experiments on benchmark ontologies demonstrate the effectiveness of the methodology .']"
8,semantic search approach,based-on,hierarchical interest tree,heuristic,1,"['an effective semantic search approach based on hierarchical interest tree ( hit ) is proposed in unstructured p2p systems.documents owned by a peer are classified into categories to build a hit , which is sent to a super peer.meanwhile , the inverted document index ( idi ) of top n terms for each category is also sent to a super peer according to their chi-square ( 2 ) statistic values.when a regular peer sends a query and gives a category semantic similarity threshold sim_ th , query messages are forwarded via an effective query routing algorithm and the results are returned by searching hit.it is flexible for each peer since it can set the sim_ th , which can provide a better personal service.the experiments show that hit-based semantic search approach is more accurate and efficient than previous methods .']"
9,semantic search approach,proposes,unstructured p2p systems.document,heuristic,2,"['an effective semantic search approach based on hierarchical interest tree ( hit ) is proposed in unstructured p2p systems.documents owned by a peer are classified into categories to build a hit , which is sent to a super peer.meanwhile , the inverted document index ( idi ) of top n terms for each category is also sent to a super peer according to their chi-square ( 2 ) statistic values.when a regular peer sends a query and gives a category semantic similarity threshold sim_ th , query messages are forwarded via an effective query routing algorithm and the results are returned by searching hit.it is flexible for each peer since it can set the sim_ th , which can provide a better personal service.the experiments show that hit-based semantic search approach is more accurate and efficient than previous methods .']"
10,hierarchical interest tree,proposes,unstructured p2p systems.document,heuristic,1,"['an effective semantic search approach based on hierarchical interest tree ( hit ) is proposed in unstructured p2p systems.documents owned by a peer are classified into categories to build a hit , which is sent to a super peer.meanwhile , the inverted document index ( idi ) of top n terms for each category is also sent to a super peer according to their chi-square ( 2 ) statistic values.when a regular peer sends a query and gives a category semantic similarity threshold sim_ th , query messages are forwarded via an effective query routing algorithm and the results are returned by searching hit.it is flexible for each peer since it can set the sim_ th , which can provide a better personal service.the experiments show that hit-based semantic search approach is more accurate and efficient than previous methods .']"
11,ordinaryweb user,skos:broader/is/hyponym-of,distributed database,heuristic,1,"['with the increasing interest in environmental issues , the amount of publicly available environmental data on the web is continuously growing . despite its importance , the uptake of environmental information by the ordinaryweb users is still very limited due to intransparent access to complex and distributed databases . as a remedy to this problem , in this work , we propose the use of semantic search technologies recently developed as an intuitive way to easily access structured data and lower the barriers to obtain information satisfying user information needs . our proposed system , namely koios , enables a simple , keyword-based search on structured environmental data and built on top of a commercial environmental information system ( eis ) . a prototype system successfully shows that applying semantic search techniques this way provides intuitive means for search and access to complex environmental information .']"
