,entity,sw-count,cs-count,gd-count,sw&cs,sw&gd
0,user information needs,2.612418917047862e-06,2.3196172817054568e-07,0.0,11.262284246852689,20.0
1,prototype implementation,2.7430398629002552e-05,6.726890116945825e-06,6.531047292619655e-07,4.0777236066190765,42.0
2,ordinaryweb users,2.1770157642065517e-07,0.0,0.0,10.0,20.0
3,combinatorial problems,2.1770157642065517e-07,1.6237320971938199e-06,0.0,0.134074812462532,20.0
4,seals evaluation service,2.1770157642065517e-07,0.0,0.0,10.0,20.0
5,mpeg group,2.1770157642065517e-07,0.0,0.0,10.0,20.0
6,fv construction,4.3540315284131033e-07,0.0,0.0,10.0,20.0
7,user information,1.1973586703136034e-05,1.6237320971938197e-05,4.3540315284131033e-07,0.737411468543926,27.5
8,virtual resource,1.7416126113652413e-06,1.1598086408527285e-06,0.0,1.5016378995803583,20.0
9,meta-learner,6.531047292619655e-07,0.0,0.0,10.0,20.0
10,seals platform,2.830120493468517e-06,0.0,0.0,10.0,20.0
11,semantic search and retrieval,3.700926799151138e-06,0.0,0.0,10.0,20.0
12,linguistic quantifiers,6.531047292619655e-07,2.3196172817054568e-07,0.0,2.815571061713172,20.0
13,bit error rate,2.1770157642065517e-07,2.528382837058948e-05,1.9593141877858966e-06,0.008610309057226826,0.1111111111111111
14,fitness functions,4.3540315284131033e-07,1.391770369023274e-06,0.0,0.31284122907924133,20.0
15,university libraries,2.612418917047862e-06,2.087655553534911e-06,1.306209458523931e-06,1.2513649163169656,2.0
16,ontology-based p2p content semantic search routing algorithm,2.1770157642065517e-07,0.0,0.0,10.0,20.0
17,tool vendor,6.531047292619655e-07,4.6392345634109136e-07,0.0,1.407785530856586,20.0
18,p2p context search,2.1770157642065517e-07,0.0,0.0,10.0,20.0
19,semantic relevance resource,2.1770157642065517e-07,0.0,0.0,10.0,20.0
20,routing algorithms,6.531047292619655e-07,9.742392583162919e-06,0.0,0.067037406231266,20.0
21,matching methods,1.3497497738080621e-05,1.391770369023274e-06,4.3540315284131033e-07,9.698078101456483,31.000000000000004
22,validation process,2.1770157642065516e-06,2.3196172817054568e-07,1.0885078821032758e-06,9.38523687237724,2.0
23,automated ontology matching methodology,4.3540315284131033e-07,0.0,0.0,10.0,20.0
24,semantic search approach,7.401853598302276e-06,2.3196172817054568e-07,0.0,31.90980536608262,20.0
25,retrieval of the annotations,2.1770157642065517e-07,0.0,0.0,10.0,20.0
26,structured environmental data,4.3540315284131033e-07,0.0,0.0,10.0,20.0
27,semantic peers,6.531047292619655e-07,0.0,0.0,10.0,20.0
28,domain semantics,4.571733104833759e-06,2.3196172817054568e-07,0.0,19.708997431992206,20.0
29,graph structure of ontologies,2.1770157642065517e-07,0.0,0.0,10.0,20.0
30,control vocabularies,4.3540315284131033e-07,0.0,0.0,10.0,20.0
31,hardware implementations,0.0,3.0155024662170937e-06,0.0,0.0,20.0
32,hierarchical interest tree,2.1770157642065517e-07,0.0,0.0,10.0,20.0
33,evolutionary algorithms,3.0478220698891726e-06,1.0902201224015647e-05,6.531047292619655e-07,0.2795602472623008,4.666666666666667
34,approach,0.003534820496342178,0.0017499192773185966,0.0005893181673707136,2.0199906030857537,5.998152936830439
35,automated systems,2.1770157642065516e-06,1.391770369023274e-06,6.531047292619655e-07,1.5642061453962066,3.333333333333333
36,fvs,1.306209458523931e-06,1.391770369023274e-06,3.700926799151138e-06,0.9385236872377241,0.3529411764705882
37,base-learner,4.3540315284131033e-07,2.3196172817054568e-07,0.0,1.8770473744754481,20.0
38,software developer,1.4150602467342587e-05,7.886698757798553e-06,4.3540315284131033e-07,1.794236460895649,32.5
39,linguistic-structural similarities,2.1770157642065517e-07,0.0,0.0,10.0,20.0
40,search requests,2.394717340627207e-06,1.1598086408527285e-06,2.1770157642065517e-07,2.064752111922993,11.000000000000002
41,omega,1.5239110349445863e-06,8.58258394231019e-06,3.0042817546050414e-05,0.1775585354233532,0.050724637681159424
42,chosen techniques,2.1770157642065517e-07,0.0,0.0,10.0,20.0
43,ontology based p2p content semantic search routing algorithm,2.1770157642065517e-07,0.0,0.0,10.0,20.0
44,architecture designs,0.0,0.0,0.0,10.0,20.0
45,novel architecture,5.660240986937034e-06,2.5515790098760026e-06,2.1770157642065517e-07,2.2183287152891658,26.0
46,query routing algorithm,4.3540315284131033e-07,2.3196172817054568e-07,0.0,1.8770473744754481,20.0
47,crossover operator,2.1770157642065517e-07,1.391770369023274e-06,0.0,0.15642061453962067,20.0
48,strands,1.9593141877858966e-06,4.8711962915814596e-06,9.143466209667517e-06,0.402224437387596,0.21428571428571427
49,low text semantic relevance degree,2.1770157642065517e-07,0.0,0.0,10.0,20.0
50,metametadata,5.44253941051638e-06,0.0,0.0,10.0,20.0
51,ontological views,1.7416126113652413e-06,0.0,0.0,10.0,20.0
52,optimization problems,3.4832252227304827e-06,2.5051866642418935e-05,5.007136257675069e-06,0.13904054625744058,0.6956521739130435
53,match score,1.0885078821032758e-06,4.6392345634109136e-07,0.0,2.34630921809431,20.0
54,descriptive structured and unstructured metadata,2.1770157642065517e-07,0.0,0.0,10.0,20.0
55,word similarity,1.9593141877858966e-06,1.6237320971938199e-06,0.0,1.206673312162788,20.0
56,hit,0.001193875445090873,0.0007599066214867077,0.000309353940093751,1.5710817768045418,3.859254046446165
57,candidate solution,2.1770157642065517e-07,1.391770369023274e-06,0.0,0.15642061453962067,20.0
58,system moto,4.3540315284131033e-07,0.0,0.0,10.0,20.0
59,evaluation service,2.612418917047862e-06,2.3196172817054568e-07,0.0,11.262284246852689,20.0
60,hybrid algorithms,2.1770157642065517e-07,1.6237320971938199e-06,0.0,0.134074812462532,20.0
61,deficiencies,1.6980722960811104e-05,9.510430854992374e-06,7.184152021881621e-06,1.78548408791567,2.3636363636363638
62,formal framework,7.619555174722931e-06,3.2474641943876397e-06,4.3540315284131033e-07,2.34630921809431,17.5
63,mpeg-7 based semantic annotations,2.1770157642065517e-07,0.0,0.0,10.0,20.0
64,innovative technologies,1.0885078821032758e-06,9.278469126821827e-07,4.3540315284131033e-07,1.173154609047155,2.5
65,ontological approach,1.4586005620183896e-05,4.6392345634109136e-07,2.1770157642065517e-07,31.440543522463756,67.0
66,fv quality,2.1770157642065517e-07,0.0,0.0,10.0,20.0
67,metametadata taxonomy,2.1770157642065516e-06,0.0,0.0,10.0,20.0
68,nwcbir,4.3540315284131033e-07,0.0,0.0,10.0,20.0
69,inverted document index,2.1770157642065517e-07,0.0,0.0,10.0,20.0
70,software frameworks,1.0885078821032758e-06,2.3196172817054568e-07,2.1770157642065517e-07,4.69261843618862,5.0
